scenario_id,scenario_intent,mars_evac_end_s,mars_remaining,mars_campus_cleared,mars_source_path,devs_evac_end_s,devs_source_path,delta_mars_vs_s01,delta_devs_vs_s01,notes,status
01,Everyone starts at 06:00. P1/P2 → SW. P3-P7 → NE,12568,0,True,results/scenario_01/metrics.json,5868.79,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_01/metrics.json,0.0,0.0,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
02,P6 starts 1 hour late,12563,0,True,results/scenario_02/metrics.json,10027.4,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_02/metrics.json,-5.0,4158.61,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
03,P6 starts 2 hours late,12561,0,True,results/scenario_03/metrics.json,12566.8,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_03/metrics.json,-7.0,6698.01,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
04,P3 delayed 1 h; P6 delayed 2 h,12592,0,True,results/scenario_04/metrics.json,13219.5,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_04/metrics.json,24.0,7350.71,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
05,P3+P4 delayed 1 h; P6 delayed 2 h,12544,0,True,results/scenario_05/metrics.json,13404.7,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_05/metrics.json,-24.0,7535.91,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
06,P3+P4 delayed 1 h; P6 delayed 1.5 h,12587,0,True,results/scenario_06/metrics.json,11604.7,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_06/metrics.json,19.0,5735.91,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
07,Same timing as baseline; alternate map + Raven exit for P3/P4,12565,0,True,results/scenario_07/metrics.json,5958.01,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_07/metrics.json,-3.0,89.22,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
08,Bronson & University Dr blocked; P1/P2 → SW; P3-P7 → Brewer Park,12949,0,True,results/scenario_08/metrics.json,5738.9,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_08/metrics.json,381.0,-129.89,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
09,"Same as 08, plus Raven-Bronson emergency open",12915,0,True,results/scenario_09/metrics.json,5627.79,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_09/metrics.json,347.0,-241.0,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
10,Base map; P1/P2/P6 → SW; P3-P5/P7 → Brewer Park,8689,0,True,results/scenario_10/metrics.json,6452.34,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_10/metrics.json,-3879.0,583.55,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
11,"Same as 01, except P7 split 550 → Brewer (NE) + 550 → Hogs Back Plaza (SW)",11369,0,True,results/scenario_11/metrics.json,7125.21,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_11/metrics.json,-1199.0,1256.42,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
12,"Same as 10 (P6 → Hogs Back Plaza/SW), except P7 split 550 → Brewer + 550 → Hogs Back",7466,0,True,results/scenario_12/metrics.json,7559.95,/home/doria/Cadmium_Projects/model-campus-evacuation-main/results/scenario_12/metrics.json,-5102.0,1691.16,DEVS field is total_sim_time_s (mapped to devs_evac_end_s); MARS field is metrics.evac_end_s,OK
