lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P2,Stadium Way,394,333,Brewer Park,468
P6,Colonel By,1624,1563,Hogs Back Plaza (SW dest.),2444
P6,Colonel By,584,523,Hogs Back Plaza (SW dest.),841
P6,Colonel By,1055,994,Hogs Back Plaza (SW dest.),1567
P1,Colonel By,476,415,Hogs Back Plaza (SW dest.),697
P6,Colonel By,1280,1219,Hogs Back Plaza (SW dest.),1901
P6,Colonel By,2781,2720,Hogs Back Plaza (SW dest.),3858
P1,Colonel By,435,374,Hogs Back Plaza (SW dest.),654
P6,Colonel By,3257,3196,Hogs Back Plaza (SW dest.),4331
P1,Colonel By,379,318,Hogs Back Plaza (SW dest.),591
P6,Colonel By,2500,2439,Hogs Back Plaza (SW dest.),3592
P6,Colonel By,2179,2118,Hogs Back Plaza (SW dest.),3194
P6,Colonel By,2355,2294,Hogs Back Plaza (SW dest.),3423
P6,Colonel By,1815,1754,Hogs Back Plaza (SW dest.),2711
P6,Colonel By,3184,3123,Hogs Back Plaza (SW dest.),4263
P6,Colonel By,702,641,Hogs Back Plaza (SW dest.),1016
P6,Colonel By,1500,1439,Hogs Back Plaza (SW dest.),2257
P2,Stadium Way,580,519,Brewer Park,689
P6,Colonel By,2142,2081,Hogs Back Plaza (SW dest.),3160
P6,Colonel By,906,845,Hogs Back Plaza (SW dest.),1327
P4,Stadium Way,870,809,Brewer Park,985
P6,Colonel By,3391,3330,Hogs Back Plaza (SW dest.),4478
P6,Colonel By,3082,3021,Hogs Back Plaza (SW dest.),4168
P1,Colonel By,261,200,Hogs Back Plaza (SW dest.),455
P6,Colonel By,2753,2692,Hogs Back Plaza (SW dest.),3841
P6,Colonel By,2118,2057,Hogs Back Plaza (SW dest.),3128
P4,Stadium Way,373,312,Brewer Park,437
P1,Colonel By,99,38,Hogs Back Plaza (SW dest.),270
P6,Colonel By,1455,1394,Hogs Back Plaza (SW dest.),2182
P6,Colonel By,3374,3313,Hogs Back Plaza (SW dest.),4457
P2,Stadium Way,740,679,Brewer Park,848
P4,Stadium Way,481,420,Brewer Park,592
P6,Colonel By,1178,1117,Hogs Back Plaza (SW dest.),1750
P6,Colonel By,725,664,Hogs Back Plaza (SW dest.),1052
P6,Colonel By,3024,2963,Hogs Back Plaza (SW dest.),4091
P6,Colonel By,733,672,Hogs Back Plaza (SW dest.),1065
P6,Colonel By,2133,2072,Hogs Back Plaza (SW dest.),3148
