time_s,cars_on_campus,cumulative_spawned,cumulative_exited
0,3200,0,0
1,3200,0,0
2,3200,0,0
3,3200,0,0
4,3200,0,0
5,3200,0,0
6,3200,0,0
7,3200,0,0
8,3200,0,0
9,3200,0,0
10,3200,0,0
11,3200,0,0
12,3200,0,0
13,3200,0,0
14,3200,0,0
15,3200,0,0
16,3200,0,0
17,3200,0,0
18,3200,0,0
19,3200,0,0
20,3200,0,0
21,3200,0,0
22,3200,0,0
23,3200,0,0
24,3200,0,0
25,3200,0,0
26,3200,0,0
27,3200,0,0
28,3200,0,0
29,3200,0,0
30,3200,0,0
31,3200,0,0
32,3200,0,0
33,3200,0,0
34,3200,0,0
35,3200,0,0
36,3200,0,0
37,3200,0,0
38,3200,0,0
39,3200,0,0
40,3200,0,0
41,3200,0,0
42,3200,0,0
43,3200,0,0
44,3200,0,0
45,3200,0,0
46,3200,0,0
47,3200,0,0
48,3200,0,0
49,3200,0,0
50,3200,0,0
51,3200,0,0
52,3200,0,0
53,3200,0,0
54,3200,0,0
55,3200,0,0
56,3200,0,0
57,3200,0,0
58,3200,0,0
59,3200,0,0
60,3200,3200,0
61,3200,3200,0
62,3200,3200,0
63,3200,3200,0
64,3200,3200,0
65,3200,3200,0
66,3200,3200,0
67,3200,3200,0
68,3200,3200,0
69,3200,3200,0
70,3200,3200,0
71,3200,3200,0
72,3200,3200,0
73,3200,3200,0
74,3200,3200,0
75,3200,3200,0
76,3200,3200,0
77,3200,3200,0
78,3200,3200,0
79,3200,3200,0
80,3200,3200,0
81,3200,3200,0
82,3200,3200,0
83,3200,3200,0
84,3200,3200,0
85,3200,3200,0
86,3200,3200,0
87,3200,3200,0
88,3200,3200,0
89,3200,3200,0
90,3200,3200,0
91,3200,3200,0
92,3200,3200,0
93,3199,3200,1
94,3199,3200,1
95,3199,3200,1
96,3199,3200,1
97,3199,3200,1
98,3199,3200,1
99,3198,3200,2
100,3198,3200,2
101,3198,3200,2
102,3198,3200,2
103,3198,3200,2
104,3198,3200,2
105,3197,3200,3
106,3197,3200,3
107,3197,3200,3
108,3197,3200,3
109,3196,3200,4
110,3196,3200,4
111,3196,3200,4
112,3196,3200,4
113,3196,3200,4
114,3195,3200,5
115,3195,3200,5
116,3195,3200,5
117,3195,3200,5
118,3195,3200,5
119,3194,3200,6
120,3194,3200,6
121,3194,3200,6
122,3194,3200,6
123,3194,3200,6
124,3194,3200,6
125,3193,3200,7
126,3193,3200,7
127,3193,3200,7
128,3193,3200,7
129,3193,3200,7
130,3193,3200,7
131,3192,3200,8
132,3192,3200,8
133,3192,3200,8
134,3192,3200,8
135,3191,3200,9
136,3191,3200,9
137,3191,3200,9
138,3190,3200,10
139,3190,3200,10
140,3190,3200,10
141,3189,3200,11
142,3189,3200,11
143,3189,3200,11
144,3189,3200,11
145,3188,3200,12
146,3188,3200,12
147,3188,3200,12
148,3187,3200,13
149,3187,3200,13
150,3187,3200,13
151,3187,3200,13
152,3186,3200,14
153,3186,3200,14
154,3186,3200,14
155,3185,3200,15
156,3185,3200,15
157,3185,3200,15
158,3185,3200,15
159,3184,3200,16
160,3184,3200,16
161,3184,3200,16
162,3184,3200,16
163,3184,3200,16
164,3183,3200,17
165,3182,3200,18
166,3182,3200,18
167,3182,3200,18
168,3182,3200,18
169,3182,3200,18
170,3181,3200,19
171,3181,3200,19
172,3181,3200,19
173,3181,3200,19
174,3179,3200,21
175,3179,3200,21
176,3179,3200,21
177,3179,3200,21
178,3178,3200,22
179,3178,3200,22
180,3178,3200,22
181,3178,3200,22
182,3176,3200,24
183,3176,3200,24
184,3176,3200,24
185,3175,3200,25
186,3175,3200,25
187,3174,3200,26
188,3173,3200,27
189,3173,3200,27
190,3172,3200,28
191,3172,3200,28
192,3172,3200,28
193,3171,3200,29
194,3171,3200,29
195,3171,3200,29
196,3171,3200,29
197,3170,3200,30
198,3169,3200,31
199,3169,3200,31
200,3169,3200,31
201,3168,3200,32
202,3167,3200,33
203,3167,3200,33
204,3167,3200,33
205,3166,3200,34
206,3166,3200,34
207,3165,3200,35
208,3165,3200,35
209,3164,3200,36
210,3163,3200,37
211,3163,3200,37
212,3163,3200,37
213,3163,3200,37
214,3162,3200,38
215,3161,3200,39
216,3161,3200,39
217,3160,3200,40
218,3160,3200,40
219,3160,3200,40
220,3159,3200,41
221,3159,3200,41
222,3158,3200,42
223,3158,3200,42
224,3158,3200,42
225,3156,3200,44
226,3156,3200,44
227,3156,3200,44
228,3155,3200,45
229,3154,3200,46
230,3154,3200,46
231,3154,3200,46
232,3153,3200,47
233,3152,3200,48
234,3152,3200,48
235,3152,3200,48
236,3151,3200,49
237,3151,3200,49
238,3150,3200,50
239,3150,3200,50
240,3149,3200,51
241,3148,3200,52
242,3147,3200,53
243,3147,3200,53
244,3147,3200,53
245,3146,3200,54
246,3146,3200,54
247,3146,3200,54
248,3146,3200,54
249,3145,3200,55
250,3145,3200,55
251,3144,3200,56
252,3144,3200,56
253,3144,3200,56
254,3144,3200,56
255,3142,3200,58
256,3142,3200,58
257,3142,3200,58
258,3141,3200,59
259,3141,3200,59
260,3140,3200,60
261,3139,3200,61
262,3139,3200,61
263,3139,3200,61
264,3139,3200,61
265,3139,3200,61
266,3138,3200,62
267,3137,3200,63
268,3137,3200,63
269,3136,3200,64
270,3136,3200,64
271,3135,3200,65
272,3135,3200,65
273,3134,3200,66
274,3133,3200,67
275,3133,3200,67
276,3132,3200,68
277,3131,3200,69
278,3130,3200,70
279,3130,3200,70
280,3129,3200,71
281,3128,3200,72
282,3128,3200,72
283,3128,3200,72
284,3126,3200,74
285,3126,3200,74
286,3125,3200,75
287,3125,3200,75
288,3125,3200,75
289,3123,3200,77
290,3123,3200,77
291,3123,3200,77
292,3121,3200,79
293,3121,3200,79
294,3121,3200,79
295,3120,3200,80
296,3120,3200,80
297,3120,3200,80
298,3119,3200,81
299,3119,3200,81
300,3118,3200,82
301,3117,3200,83
302,3117,3200,83
303,3117,3200,83
304,3116,3200,84
305,3115,3200,85
306,3115,3200,85
307,3115,3200,85
308,3114,3200,86
309,3114,3200,86
310,3114,3200,86
311,3113,3200,87
312,3113,3200,87
313,3112,3200,88
314,3112,3200,88
315,3111,3200,89
316,3111,3200,89
317,3110,3200,90
318,3109,3200,91
319,3109,3200,91
320,3108,3200,92
321,3108,3200,92
322,3107,3200,93
323,3106,3200,94
324,3106,3200,94
325,3105,3200,95
326,3105,3200,95
327,3103,3200,97
328,3103,3200,97
329,3103,3200,97
330,3103,3200,97
331,3102,3200,98
332,3101,3200,99
333,3100,3200,100
334,3100,3200,100
335,3100,3200,100
336,3099,3200,101
337,3098,3200,102
338,3097,3200,103
339,3097,3200,103
340,3097,3200,103
341,3096,3200,104
342,3095,3200,105
343,3095,3200,105
344,3095,3200,105
345,3095,3200,105
346,3094,3200,106
347,3093,3200,107
348,3093,3200,107
349,3093,3200,107
350,3091,3200,109
351,3091,3200,109
352,3090,3200,110
353,3090,3200,110
354,3090,3200,110
355,3090,3200,110
356,3088,3200,112
357,3088,3200,112
358,3088,3200,112
359,3087,3200,113
