time_s,cars_on_campus,cumulative_spawned,cumulative_exited
0,3200,0,0
1,3200,0,0
2,3200,0,0
3,3200,0,0
4,3200,0,0
5,3200,0,0
6,3200,0,0
7,3200,0,0
8,3200,0,0
9,3200,0,0
10,3200,0,0
11,3200,0,0
12,3200,0,0
13,3200,0,0
14,3200,0,0
15,3200,0,0
16,3200,0,0
17,3200,0,0
18,3200,0,0
19,3200,0,0
20,3200,0,0
21,3200,0,0
22,3200,0,0
23,3200,0,0
24,3200,0,0
25,3200,0,0
26,3200,0,0
27,3200,0,0
28,3200,0,0
29,3200,0,0
30,3200,0,0
31,3200,0,0
32,3200,0,0
33,3200,0,0
34,3200,0,0
35,3200,0,0
36,3200,0,0
37,3200,0,0
38,3200,0,0
39,3200,0,0
40,3200,0,0
41,3200,0,0
42,3200,0,0
43,3200,0,0
44,3200,0,0
45,3200,0,0
46,3200,0,0
47,3200,0,0
48,3200,0,0
49,3200,0,0
50,3200,0,0
51,3200,0,0
52,3200,0,0
53,3200,0,0
54,3200,0,0
55,3200,0,0
56,3200,0,0
57,3200,0,0
58,3200,0,0
59,3200,0,0
60,3200,3200,0
61,3200,3200,0
62,3200,3200,0
63,3200,3200,0
64,3200,3200,0
65,3200,3200,0
66,3200,3200,0
67,3200,3200,0
68,3200,3200,0
69,3200,3200,0
70,3200,3200,0
71,3200,3200,0
72,3200,3200,0
73,3200,3200,0
74,3200,3200,0
75,3200,3200,0
76,3200,3200,0
77,3200,3200,0
78,3200,3200,0
79,3200,3200,0
80,3200,3200,0
81,3200,3200,0
82,3200,3200,0
83,3200,3200,0
84,3200,3200,0
85,3200,3200,0
86,3200,3200,0
87,3200,3200,0
88,3200,3200,0
89,3200,3200,0
90,3200,3200,0
91,3200,3200,0
92,3200,3200,0
93,3199,3200,1
94,3198,3200,2
95,3198,3200,2
96,3198,3200,2
97,3198,3200,2
98,3197,3200,3
99,3196,3200,4
100,3196,3200,4
101,3196,3200,4
102,3196,3200,4
103,3195,3200,5
104,3195,3200,5
105,3194,3200,6
106,3194,3200,6
107,3193,3200,7
108,3193,3200,7
109,3192,3200,8
110,3192,3200,8
111,3191,3200,9
112,3191,3200,9
113,3191,3200,9
114,3189,3200,11
115,3189,3200,11
116,3189,3200,11
117,3188,3200,12
118,3186,3200,14
119,3186,3200,14
120,3185,3200,15
121,3185,3200,15
122,3184,3200,16
123,3183,3200,17
124,3183,3200,17
125,3181,3200,19
126,3181,3200,19
127,3181,3200,19
128,3181,3200,19
129,3179,3200,21
130,3179,3200,21
131,3179,3200,21
132,3178,3200,22
133,3177,3200,23
134,3176,3200,24
135,3176,3200,24
136,3175,3200,25
137,3175,3200,25
138,3174,3200,26
139,3173,3200,27
140,3171,3200,29
141,3171,3200,29
142,3170,3200,30
143,3169,3200,31
144,3169,3200,31
145,3168,3200,32
146,3166,3200,34
147,3165,3200,35
148,3163,3200,37
149,3163,3200,37
150,3160,3200,40
151,3160,3200,40
152,3160,3200,40
153,3157,3200,43
154,3156,3200,44
155,3155,3200,45
156,3154,3200,46
157,3154,3200,46
158,3152,3200,48
159,3151,3200,49
160,3150,3200,50
161,3150,3200,50
162,3147,3200,53
163,3146,3200,54
164,3145,3200,55
165,3145,3200,55
166,3143,3200,57
167,3143,3200,57
168,3141,3200,59
169,3140,3200,60
170,3140,3200,60
171,3138,3200,62
172,3136,3200,64
173,3136,3200,64
174,3134,3200,66
175,3133,3200,67
176,3133,3200,67
177,3132,3200,68
178,3129,3200,71
179,3129,3200,71
180,3129,3200,71
181,3125,3200,75
182,3125,3200,75
183,3124,3200,76
184,3122,3200,78
185,3122,3200,78
186,3120,3200,80
187,3120,3200,80
188,3117,3200,83
189,3116,3200,84
190,3115,3200,85
191,3114,3200,86
192,3112,3200,88
193,3112,3200,88
194,3110,3200,90
195,3108,3200,92
196,3107,3200,93
197,3106,3200,94
198,3105,3200,95
199,3103,3200,97
200,3102,3200,98
201,3102,3200,98
202,3099,3200,101
203,3098,3200,102
204,3098,3200,102
205,3096,3200,104
206,3094,3200,106
207,3094,3200,106
208,3091,3200,109
209,3090,3200,110
210,3089,3200,111
211,3087,3200,113
212,3087,3200,113
213,3087,3200,113
214,3085,3200,115
215,3085,3200,115
216,3085,3200,115
217,3084,3200,116
218,3082,3200,118
219,3082,3200,118
220,3081,3200,119
221,3080,3200,120
222,3079,3200,121
223,3078,3200,122
224,3077,3200,123
225,3076,3200,124
226,3076,3200,124
227,3074,3200,126
228,3073,3200,127
229,3072,3200,128
230,3071,3200,129
231,3070,3200,130
232,3069,3200,131
233,3068,3200,132
234,3067,3200,133
235,3067,3200,133
236,3066,3200,134
237,3064,3200,136
238,3064,3200,136
239,3064,3200,136
240,3063,3200,137
241,3061,3200,139
242,3061,3200,139
243,3060,3200,140
244,3059,3200,141
245,3058,3200,142
246,3058,3200,142
247,3057,3200,143
248,3055,3200,145
249,3055,3200,145
250,3055,3200,145
251,3054,3200,146
252,3054,3200,146
253,3052,3200,148
254,3051,3200,149
255,3051,3200,149
256,3049,3200,151
257,3048,3200,152
258,3048,3200,152
259,3046,3200,154
260,3045,3200,155
261,3045,3200,155
262,3044,3200,156
263,3043,3200,157
264,3041,3200,159
265,3041,3200,159
266,3040,3200,160
267,3039,3200,161
268,3039,3200,161
269,3038,3200,162
270,3036,3200,164
271,3036,3200,164
272,3035,3200,165
273,3035,3200,165
274,3034,3200,166
275,3031,3200,169
276,3031,3200,169
277,3031,3200,169
278,3029,3200,171
279,3028,3200,172
280,3028,3200,172
281,3027,3200,173
282,3025,3200,175
283,3024,3200,176
284,3024,3200,176
285,3022,3200,178
286,3022,3200,178
287,3022,3200,178
288,3020,3200,180
289,3020,3200,180
290,3020,3200,180
291,3019,3200,181
292,3018,3200,182
293,3018,3200,182
294,3018,3200,182
295,3016,3200,184
296,3016,3200,184
297,3016,3200,184
298,3014,3200,186
299,3014,3200,186
300,3014,3200,186
301,3013,3200,187
302,3013,3200,187
303,3012,3200,188
304,3012,3200,188
305,3012,3200,188
306,3011,3200,189
307,3010,3200,190
308,3009,3200,191
309,3009,3200,191
310,3009,3200,191
311,3008,3200,192
312,3007,3200,193
313,3006,3200,194
314,3006,3200,194
315,3005,3200,195
316,3005,3200,195
317,3005,3200,195
318,3005,3200,195
319,3004,3200,196
320,3003,3200,197
321,3003,3200,197
322,3002,3200,198
323,3001,3200,199
324,3001,3200,199
325,3000,3200,200
326,3000,3200,200
327,3000,3200,200
328,2999,3200,201
329,2998,3200,202
330,2998,3200,202
331,2996,3200,204
332,2996,3200,204
333,2995,3200,205
334,2994,3200,206
335,2994,3200,206
336,2993,3200,207
337,2993,3200,207
338,2992,3200,208
339,2992,3200,208
340,2992,3200,208
341,2992,3200,208
342,2990,3200,210
343,2990,3200,210
344,2989,3200,211
345,2988,3200,212
346,2988,3200,212
347,2987,3200,213
348,2987,3200,213
349,2986,3200,214
350,2985,3200,215
351,2984,3200,216
352,2984,3200,216
353,2983,3200,217
354,2983,3200,217
355,2982,3200,218
356,2981,3200,219
357,2981,3200,219
358,2980,3200,220
359,2979,3200,221
