lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P5,Stadium Way,1770,1709,Brewer Park,1877
P7,Bronson Ave & University Dr,4268,4207,Brewer Park,4706
P5,Stadium Way,2629,2568,Brewer Park,2739
P1,Colonel By,333,272,Hogs Back Plaza (SW dest.),556
P7,Bronson Ave & University Dr,10976,10915,Brewer Park,11441
P7,Bronson Ave & University Dr,10011,9950,Brewer Park,10480
P3,Stadium Way,3910,3849,Brewer Park,4016
P1,Colonel By,118,57,Hogs Back Plaza (SW dest.),292
P5,Stadium Way,230,169,Brewer Park,289
P4,Stadium Way,2293,2232,Brewer Park,2410
P5,Stadium Way,2618,2557,Brewer Park,2727
P7,Bronson Ave & University Dr,10670,10609,Brewer Park,11141
P7,Bronson Ave & University Dr,9066,9005,Brewer Park,9535
P5,Stadium Way,2803,2742,Brewer Park,2916
P5,Stadium Way,560,499,Brewer Park,671
P7,Bronson Ave & University Dr,11797,11736,Brewer Park,12591
P7,Bronson Ave & University Dr,10981,10920,Brewer Park,11450
P7,Bronson Ave & University Dr,11696,11635,Brewer Park,12165
P3,Stadium Way,3317,3256,Brewer Park,3424
P7,Bronson Ave & University Dr,10119,10058,Brewer Park,10585
P3,Stadium Way,3669,3608,Brewer Park,3772
P7,Bronson Ave & University Dr,10120,10059,Brewer Park,10588
P5,Stadium Way,3158,3097,Brewer Park,3264
P1,Colonel By,222,161,Hogs Back Plaza (SW dest.),419
P5,Stadium Way,2716,2655,Brewer Park,2831
P7,Bronson Ave & University Dr,11735,11674,Brewer Park,12516
P3,Stadium Way,3554,3493,Brewer Park,3661
P1,Colonel By,387,326,Hogs Back Plaza (SW dest.),619
P7,Bronson Ave & University Dr,4274,4213,Brewer Park,4720
P5,Stadium Way,2599,2538,Brewer Park,2709
P2,Colonel By,646,585,Hogs Back Plaza (SW dest.),1080
P3,Stadium Way,3196,3135,Brewer Park,3304
P7,Bronson Ave & University Dr,9935,9874,Brewer Park,10698
P3,Stadium Way,3568,3507,Brewer Park,3678
P5,Stadium Way,274,213,Brewer Park,348
P5,Stadium Way,1704,1643,Brewer Park,1809
P5,Stadium Way,148,87,Brewer Park,173
P3,Stadium Way,3341,3280,Brewer Park,3454
P7,Bronson Ave & University Dr,8197,8136,Brewer Park,8646
P5,Stadium Way,3151,3090,Brewer Park,3255
P7,Bronson Ave & University Dr,9544,9483,Brewer Park,10012
P2,Colonel By,669,608,Hogs Back Plaza (SW dest.),1123
P5,Stadium Way,967,906,Brewer Park,1084
P7,Bronson Ave & University Dr,12205,12144,Brewer Park,12677
P3,Stadium Way,3438,3377,Brewer Park,3552
P7,Bronson Ave & University Dr,12392,12331,Brewer Park,12868
P4,Stadium Way,4321,4260,Brewer Park,4428
P7,Bronson Ave & University Dr,10854,10793,Brewer Park,11329
P3,Stadium Way,3936,3875,Brewer Park,4046
P5,Stadium Way,1502,1441,Brewer Park,1612
P7,Bronson Ave & University Dr,12416,12355,Brewer Park,12892
P5,Stadium Way,2208,2147,Brewer Park,2314
P7,Bronson Ave & University Dr,8359,8298,Brewer Park,8829
P5,Stadium Way,2679,2618,Brewer Park,2789
P7,Bronson Ave & University Dr,254,193,Brewer Park,4658
P5,Stadium Way,327,266,Brewer Park,427
P5,Stadium Way,2107,2046,Brewer Park,2228
P4,Stadium Way,4230,4169,Brewer Park,4333
P7,Bronson Ave & University Dr,10129,10068,Brewer Park,10909
P7,Bronson Ave & University Dr,8172,8111,Brewer Park,8624
P1,Colonel By,267,206,Hogs Back Plaza (SW dest.),476
P7,Bronson Ave & University Dr,9981,9920,Brewer Park,10746
P5,Stadium Way,2896,2835,Brewer Park,3003
P5,Stadium Way,952,891,Brewer Park,1063
P5,Stadium Way,118,57,Brewer Park,140
P7,Bronson Ave & University Dr,11299,11238,Brewer Park,11775
P5,Stadium Way,981,920,Brewer Park,1101
P1,Colonel By,412,351,Hogs Back Plaza (SW dest.),656
P3,Stadium Way,3944,3883,Brewer Park,4056
P5,Stadium Way,1677,1616,Brewer Park,1785
P5,Stadium Way,429,368,Brewer Park,535
P7,Bronson Ave & University Dr,10068,10007,Brewer Park,10537
P7,Bronson Ave & University Dr,11562,11501,Brewer Park,12032
P7,Bronson Ave & University Dr,8990,8929,Brewer Park,9464
P7,Bronson Ave & University Dr,8161,8100,Brewer Park,8616
P5,Stadium Way,2478,2417,Brewer Park,2588
P7,Bronson Ave & University Dr,9872,9811,Brewer Park,10344
P5,Stadium Way,2553,2492,Brewer Park,2663
P3,Stadium Way,4024,3963,Brewer Park,4138
P5,Stadium Way,1656,1595,Brewer Park,1759
P5,Stadium Way,2515,2454,Brewer Park,2623
