time,Library Rd & P1 to Library Rd & University Dr,Library Rd & P1 to Campus Ave & Library Rd,Library Rd & University Dr to Library Rd & P1,Campus Ave & Library Rd to Library Rd & P1,Campus Ave & Library Rd to Campus Ave & P2,Campus Ave & P2 to Campus Ave & University Dr,Campus Ave & University Dr to Library Rd & University Dr,Library Rd & University Dr to Campus Ave & University Dr,Campus Ave & University Dr to Raven Rd & University Dr,Raven Rd & University Dr to Campus Ave & University Dr,Raven Rd & University Dr to P3 & Raven Rd,P3 & Raven Rd to Raven Rd & University Dr,P3 & Raven Rd to Bronson Ave & Raven Rd,Library Rd & University Dr to Colonel By Dr & University Dr,Raven Rd & University Dr to P4 & University Dr,P4 & University Dr to Raven Rd & University Dr,P4 & University Dr to Stadium Way & University Dr,Stadium Way & University Dr to P4 & University Dr,Stadium Way & University Dr to P5 & Stadium Way,P5 & Stadium Way to Stadium Way & University Dr,P5 & Stadium Way to Bronson Ave & Stadium Way,Stadium Way & University Dr to Roundabout,Roundabout to Stadium Way & University Dr,Roundabout to Bronson Ave & University Dr,Roundabout to Campus Ave & P6,Campus Ave & P6 to Roundabout,Campus Ave & P6 to Campus Ave & Library Rd,Raven Rd & University Dr to Bronson Ave & Raven Rd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,23.986361901891765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.28809483128499,0.0,0.0,0.0,18.756044011227893,0.0,1.3717985705932294,0.0,0.0,0.0,127.08807298716876,0.0,0.0,10.616366094736422,22.770782259632995,0.0,0.0,0.0
80.0,28.881537800237023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.52370847899921,0.0,0.0,0.0,19.74320422234515,0.0,1.8290647607909727,0.0,0.0,0.0,132.888773413969,0.0,0.0,14.862912532630991,31.445365977588423,0.0,0.0,0.0
90.0,31.329125749409652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.759322126713435,0.0,0.0,0.0,18.262463905669264,0.0,3.200863331384202,0.0,0.0,0.0,138.68947384076924,0.0,0.0,14.155154792981897,44.457241554521566,0.0,0.0,0.0
100.0,32.79767851891323,0.0,0.0,0.0,0.0,0.0,0.19347435858194803,0.0,0.0,0.0,46.916397891856256,0.0,0.0,0.0,16.781723588993376,0.0,4.5726619019774315,0.0,0.0,0.0,140.27148304807838,0.0,0.0,16.27842801192918,49.878856378243704,0.0,0.0,0.0
110.0,33.28719610874776,0.0,0.0,0.0,0.0,0.0,0.7738974343277921,0.0,0.0,0.0,47.99493577442766,0.0,0.0,2.9104777148277132,16.288143483434748,0.0,4.5726619019774315,0.0,3.4106947641893877,0.0,140.79881945051477,0.0,0.0,19.817216710174655,48.79453341349927,0.0,0.0,0.0
120.0,33.28719610874776,0.0,0.0,0.0,0.0,0.0,1.3543205100736362,0.0,0.0,0.0,48.534204715713365,0.0,0.0,8.73143314448314,15.79456337787612,0.0,5.029928092175175,0.0,3.4106947641893877,0.0,142.9081650602603,0.0,0.0,20.52497444982375,47.71021044875485,0.0,0.0,0.0
130.0,33.776713698582284,0.0,0.0,0.0,0.0,0.0,1.9347435858194804,0.0,0.0,0.0,47.99493577442766,0.0,0.0,11.641910859310853,15.79456337787612,0.0,5.029928092175175,0.0,5.116042146284081,0.0,145.54484707244222,0.0,0.0,20.52497444982375,48.79453341349927,0.0,0.0,0.0
140.0,32.3081609290787,0.0,0.0,0.0,0.0,0.0,2.3216923029833763,0.0,0.0,0.0,49.07347365699907,0.0,0.0,17.46286628896628,15.300983272317492,0.0,5.487194282372918,0.0,3.4106947641893877,0.0,148.70886548706054,0.0,0.0,20.52497444982375,47.71021044875485,0.0,0.0,0.0
150.0,30.83960815957513,0.0,0.0,0.0,0.0,0.0,2.9021153787292207,0.0,0.0,0.0,49.07347365699907,0.0,0.0,20.373344003793992,15.300983272317492,0.0,5.487194282372918,0.0,5.116042146284081,0.0,151.34554749924246,0.0,0.0,21.940489929121938,46.62588748401042,0.0,0.0,0.0
160.0,29.860572979906074,0.0,0.0,0.0,0.0,0.0,3.676012813057013,0.0,0.0,0.0,49.07347365699907,0.0,0.0,20.373344003793992,14.807403166758862,0.0,5.944460472570661,0.0,3.4106947641893877,0.0,155.03690231629716,0.0,0.0,21.232732189472845,46.62588748401042,0.0,0.0,0.0
170.0,28.881537800237023,0.0,0.0,0.0,0.0,0.0,4.062961530220909,0.0,0.0,0.0,47.99493577442766,0.0,0.0,23.283821718621706,14.807403166758862,0.0,6.401726662768404,0.0,5.116042146284081,0.0,157.67358432847908,0.0,0.0,21.232732189472845,46.62588748401042,0.0,0.0,0.0
180.0,29.37105539007155,0.0,0.0,0.0,0.0,0.0,4.062961530220909,0.0,0.0,0.0,47.99493577442766,0.0,0.0,26.19429943344942,14.807403166758862,0.0,6.401726662768404,0.0,5.116042146284081,0.0,159.78292993822464,0.0,0.0,21.940489929121938,45.54156451926599,0.0,0.0,0.0
190.0,28.392020210402496,0.0,0.0,0.0,0.0,0.0,4.836858964548701,0.0,0.0,0.0,47.45566683314196,0.0,0.0,29.104777148277133,14.313823061200234,0.0,6.858992852966147,0.0,8.526736910473469,0.0,159.78292993822464,0.0,0.0,21.232732189472845,45.54156451926599,0.0,0.0,0.0
200.0,27.412985030733445,0.0,0.0,0.0,0.0,0.0,5.417282040294545,0.0,0.0,0.0,47.99493577442766,0.0,0.0,32.01525486310485,14.313823061200234,0.0,6.858992852966147,0.0,13.64277905675755,0.0,159.25559353578825,0.0,0.0,21.232732189472845,45.54156451926599,0.0,0.0,0.0
210.0,25.944432261229867,0.0,0.0,0.0,0.0,0.0,5.99770511604039,0.0,0.0,0.0,47.45566683314196,0.0,0.0,32.01525486310485,13.326662850082975,0.0,9.145323803954863,0.0,13.64277905675755,0.0,159.78292993822464,0.0,0.0,21.232732189472845,44.457241554521566,0.0,0.0,0.0
220.0,24.475879491726293,0.0,0.0,0.0,0.0,0.0,6.771602550368182,0.0,0.0,0.0,47.45566683314196,0.0,0.0,32.01525486310485,13.326662850082975,0.0,10.974388564745835,0.0,13.64277905675755,0.0,159.78292993822464,0.0,0.0,23.356005408420128,44.457241554521566,0.0,0.0,0.0
230.0,24.475879491726293,0.0,0.0,0.0,0.0,0.0,7.352025626114026,0.0,0.0,0.0,46.916397891856256,0.0,0.0,29.104777148277133,13.820242955641605,0.0,12.346187135339065,0.0,13.64277905675755,0.0,161.89227554797017,0.0,0.0,23.356005408420128,45.54156451926599,0.0,0.0,0.0
240.0,24.475879491726293,0.0,0.0,0.0,0.0,0.0,7.93244870185987,0.0,0.0,0.0,47.45566683314196,0.0,0.0,29.104777148277133,13.326662850082975,0.0,14.175251896130037,0.0,13.64277905675755,0.0,161.89227554797017,0.0,0.0,22.648247668771035,45.54156451926599,0.0,0.0,0.0
250.0,23.986361901891765,0.0,0.0,0.0,0.0,0.0,8.319397419023765,0.0,0.0,0.0,46.37712895057055,0.0,0.0,29.104777148277133,13.326662850082975,0.0,15.547050466723267,0.0,13.64277905675755,0.0,160.8376027430974,0.0,0.0,24.771520887718317,45.54156451926599,0.0,0.0,0.0
260.0,23.986361901891765,0.0,0.0,0.0,0.0,0.0,9.093294853351559,0.0,0.0,0.0,44.22005318542774,0.0,0.0,29.104777148277133,15.300983272317492,0.0,16.00431665692101,0.0,11.937431674662857,0.0,160.8376027430974,0.0,0.0,26.894794106665604,45.54156451926599,0.0,0.0,0.0
270.0,23.496844312057238,0.0,0.0,0.0,0.0,0.0,9.673717929097402,0.0,0.0,0.0,42.60224636157062,0.0,0.0,29.104777148277133,16.781723588993376,0.0,14.632518086327782,0.0,13.64277905675755,0.0,162.41961195040656,0.0,0.0,29.725825065261983,44.457241554521566,0.0,0.0,0.0
280.0,23.986361901891765,0.0,0.0,0.0,0.0,0.0,10.254141004843246,0.0,0.0,0.0,40.44517059642781,0.0,0.0,26.19429943344942,18.756044011227893,0.0,14.632518086327782,0.0,13.64277905675755,0.0,161.89227554797017,0.0,0.0,31.141340544560173,46.62588748401042,0.0,0.0,0.0
290.0,23.007326722222714,0.0,0.0,0.0,0.0,0.0,10.83456408058909,0.0,0.0,0.0,39.3666327138564,0.0,0.0,29.104777148277133,17.768883800110636,0.0,16.461582847118752,0.0,13.64277905675755,0.0,161.89227554797017,0.0,0.0,33.97237150315655,46.62588748401042,0.0,0.0,0.0
300.0,22.028291542553664,0.0,0.0,0.0,0.0,0.0,11.414987156334934,0.0,0.0,0.0,37.20955694871358,0.0,0.0,29.104777148277133,19.24962411678652,0.0,16.918849037316498,0.0,13.64277905675755,0.0,162.41961195040656,0.0,0.0,35.38788698245474,45.54156451926599,0.0,0.0,0.0
310.0,20.559738773050086,0.0,0.0,0.0,0.0,0.0,11.99541023208078,0.0,0.0,0.0,35.59175012485647,0.0,0.0,29.104777148277133,20.730364433462405,0.0,16.918849037316498,0.0,13.64277905675755,0.0,162.41961195040656,0.0,0.0,37.51116020140203,46.62588748401042,0.0,0.0,0.0
320.0,20.07022118321556,0.0,0.0,0.0,0.0,0.0,12.575833307826622,0.0,0.0,0.0,32.89540541842795,0.0,0.0,23.283821718621706,23.19826496125555,0.0,17.37611522751424,0.0,13.64277905675755,0.0,161.36493914553378,0.0,0.0,38.926675680700214,47.71021044875485,0.0,0.0,0.0
