"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone"
26,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
32,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
34,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
41,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
61,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
66,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
72,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
73,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
76,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
106,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
151,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
307,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
311,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
341,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
356,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
358,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
361,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
366,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
371,"Hamburger Verkehrsverbund (hvv)","http://www.hvv.de","Europe/Berlin","de","040/19449"
