"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"9146_702",4,44061631,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061655,"U Meßberg","",0,,1229,1,0
"9146_702",26,44061643,"U Meßberg","",0,,1229,1,0
"9146_702",21,44061642,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061653,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061644,"U Meßberg","",0,,1229,1,0
"9146_702",21,44061641,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061652,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061650,"U Meßberg","",0,,1229,1,0
"9146_702",25,44061654,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061651,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061649,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061630,"U Meßberg","",0,,1229,1,0
"9146_702",25,44061640,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061771,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061770,"U Meßberg","",0,,1229,1,0
"9146_702",25,44061639,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061735,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061734,"U Meßberg","",0,,1229,1,0
"9146_702",21,44061619,"U Meßberg","",0,,1229,1,0
"9146_702",22,44061638,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061733,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061732,"U Meßberg","",0,,1229,1,0
"9146_702",21,44061618,"U Meßberg","",0,,1229,1,0
"9146_702",22,44061637,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061731,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061730,"U Meßberg","",0,,1229,1,0
"9146_702",21,44061617,"U Meßberg","",0,,1229,1,0
"9146_702",22,44061636,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061729,"U Meßberg","",0,,1229,1,0
"9146_702",4,44061728,"U Meßberg","",0,,1229,1,0
