"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"9707_3",26,"8757","Mölln ZOB > Gudow > Kehrsen > Sterley, Schule",3,"#ff0000","#ff0000",""
"9706_3",26,"8756","Bf. Ratzeburg > Schmilau > Mölln, ZOB > Mölln, Schulberg",3,"#ff0000","#ff0000",""
"8637_3",26,"8502","Bf. Ratzeburg - Vorstadtschule - Krankenhaus - SWR",3,"#ff0000","#ff0000",""
"5236_3",26,"8700","Ratzeburg  >  Mölln   > Hamburg-Wandsbek",3,"#ff0000","#ff0000",""
"5143_3",26,"8794","Ziethen > Mustin > Kittlitz > Salem > Sterley, Schule",3,"#ff0000","#ff0000",""
"5142_3",26,"8793","Sterley > Neu Sterley > Seedorf > Sterley, Schule > Ratzeburger Schulen",3,"#ff0000","#ff0000",""
"5141_3",26,"8792","Mustin > Kittlitz > Salem > Ratzeburger Schulen",3,"#ff0000","#ff0000",""
"5140_3",26,"8791","Mustin > Ziethen > Ratzeburger Schulen",3,"#ff0000","#ff0000",""
"5139_3",26,"8790","Bf. Ratzeburg > Salem >Sterley > Seedorf > Zarrentin am Schaalsee",3,"#ff0000","#ff0000",""
"5138_3",26,"8762","Alt Mölln > Bälau > Poggensee > Borstorf > Breitenfelde > Mölln, Schulberg",3,"#ff0000","#ff0000",""
"5137_3",26,"8761","Behlendorf > Bergrade > Nusse > Hammer > Mölln, Schulberg",3,"#ff0000","#ff0000",""
"5136_3",26,"8760","Mölln  >  Hammer  >  Nusse > Trittau",3,"#ff0000","#ff0000",""
"5135_3",26,"8755","Grambek > Mölln, Schulberg (> Mölln, ZOB)",3,"#ff0000","#ff0000",""
"5134_3",26,"8754","Sterley, Schule > Kehrsen > (Segrahn >) Gudow > Mölln, Schulberg > Mölln, ZOB",3,"#ff0000","#ff0000",""
"5133_3",26,"8753","Neu Sterley > Seedorf > Sterley, Schule > Mölln, Schulberg",3,"#ff0000","#ff0000",""
"5132_3",26,"8752","Ratzeburg > Schmilau > Sterley, Schule",3,"#ff0000","#ff0000",""
"5131_3",26,"8751","Mölln, ZOB > Schmilau > Ratzeburger Schulen",3,"#ff0000","#ff0000",""
"5130_3",26,"8750","Bf. Ratzeburg > Vorstadt > Krankenhaus > Schmilau > Mölln, ZOB",3,"#ff0000","#ff0000",""
"5129_3",26,"8735","Nusse > Lankau > Stecknitzweg > Mölln, Schulberg",3,"#ff0000","#ff0000",""
"5128_3",26,"8734","Koberg > Nusse > Ratzeburger Schulen",3,"#ff0000","#ff0000",""
"5127_3",26,"8733","Behlendorf > Nusse > Sandesneben",3,"#ff0000","#ff0000",""
"5126_3",26,"8732","Mölln, ZOB > Lankau > Nusse > Koberg > Sandesneben",3,"#ff0000","#ff0000",""
"5124_3",26,"8713","Mechow > Bäk > Ratzeburger Schulen",3,"#ff0000","#ff0000",""
"5123_3",26,"8712","Klein Disnack > Pogeez > Einhaus > Ratzeburger Schulen",3,"#ff0000","#ff0000",""
"5122_3",26,"8514","Mölln, Augustinum > Don-Bosco-Haus > ZOB > Robert-Koch-Park > Lehmrade",3,"#ff0000","#ff0000",""
"5121_3",26,"8512","Mölln, ZOB > Hansaviertel > Mölln, ZOB",3,"#ff0000","#ff0000",""
"4880_3",26,"8513","Mölln, ZOB > Mölln, Stecknitzweg",3,"#ff0000","#ff0000",""
"4879_3",26,"8515","Mölln, ZOB > Bf. Mölln > Wasserkrüger Weg > Hansaviertel > Mölln, ZOB",3,"#ff0000","#ff0000",""
"4878_3",26,"8511","Mölln, ZOB > Waldstadt > Mölln, ZOB",3,"#ff0000","#ff0000",""
"4877_3",26,"8501","Bf. Ratzeburg > Demolierung  >  DRK > SWR > Vorstadt",3,"#ff0000","#ff0000",""
"9739_3",34,"6675","Haseldorf  >  Altendeich  >  Heist  >  Moorrege  >  Uetersen",3,"#ff0000","#ff0000",""
"9738_3",34,"6673","Moorrege  >  Appen  >  Appen-Etz  >  Pinneberg",3,"#ff0000","#ff0000",""
"9737_3",34,"6671","Uetersen > Groß Nordende > Neuendeich > Uetersen",3,"#ff0000","#ff0000",""
"9736_702",34,"X66","Uetersen, Buttermarkt > Uetersen, Tantaus Allee > Bf. Tornesch",702,"#ff0000","#ff0000",""
"9686_3",61,"8896","Geesthacht > Grünhof > Lauenburg, Gemeinschaftsschule",3,"#ff0000","#ff0000",""
"9685_3",61,"669","%UB Ahrensburg West > Bf. Ahrensburg > Gartenholz > Bf. Ahrensburg > %UB Ahrensburg West",3,"#ff0000","#ff0000",""
"9684_3",61,"668","%UB Volksdorf > Ahrensburg, Dänenweg > Bf. Ahrensburg",3,"#ff0000","#ff0000",""
