service_id,date,exception_type
2,20200413,1
2,20200601,1
2,20200521,1
2,20200410,1
2,20200501,1
2,20201003,1
2,20201031,1
3,20200320,2
4,20200320,1
5,20200413,1
5,20200601,1
5,20200521,1
5,20200314,2
5,20200315,2
5,20200322,2
6,20200314,1
6,20200315,1
7,20200322,1
8,20200413,2
8,20200601,2
8,20200521,2
8,20200410,2
8,20200501,2
8,20201003,2
8,20201031,2
9,20200413,1
9,20200601,1
9,20200521,1
10,20200316,2
10,20200413,2
10,20200601,2
10,20200521,2
10,20200410,2
10,20200501,2
10,20201003,2
10,20201031,2
11,20200316,1
12,20200601,1
12,20200521,1
12,20200501,1
12,20200322,2
12,20200329,2
12,20200405,2
12,20200412,2
12,20200419,2
12,20200426,2
13,20200413,2
13,20200601,2
13,20200521,2
13,20200410,2
13,20200501,2
14,20200413,1
14,20200601,1
14,20200521,1
14,20200501,1
15,20200410,1
16,20200410,2
17,20200406,2
17,20200407,2
17,20200408,2
17,20200410,2
18,20200406,1
18,20200407,1
18,20200408,1
19,20200406,2
19,20200407,2
19,20200410,2
20,20200406,1
20,20200407,1
21,20200323,2
21,20200330,2
21,20200406,2
21,20200324,2
21,20200331,2
21,20200407,2
21,20200325,2
21,20200401,2
21,20200408,2
21,20200326,2
21,20200402,2
21,20200409,2
21,20200327,2
21,20200403,2
21,20200410,2
21,20200321,2
21,20200328,2
21,20200404,2
21,20200322,2
21,20200329,2
21,20200405,2
22,20200323,1
22,20200330,1
22,20200406,1
22,20200324,1
22,20200331,1
22,20200407,1
22,20200325,1
22,20200401,1
22,20200408,1
22,20200326,1
22,20200402,1
22,20200409,1
22,20200327,1
22,20200403,1
22,20200321,1
22,20200328,1
22,20200404,1
22,20200322,1
22,20200329,1
22,20200405,1
23,20200520,1
23,20200320,2
23,20200327,2
23,20200403,2
23,20200410,2
23,20200417,2
23,20200424,2
23,20200321,2
23,20200328,2
23,20200404,2
23,20200411,2
23,20200418,2
23,20200425,2
23,20200531,1
24,20200321,2
24,20200328,2
24,20200404,2
24,20200411,2
24,20200418,2
24,20200425,2
24,20201003,2
24,20201031,2
25,20200323,2
25,20200330,2
25,20200406,2
25,20200413,2
25,20200420,2
25,20200427,2
25,20200601,2
25,20200324,2
25,20200331,2
25,20200407,2
25,20200414,2
25,20200421,2
25,20200428,2
25,20200325,2
25,20200401,2
25,20200408,2
25,20200415,2
25,20200422,2
25,20200429,2
25,20200326,2
25,20200402,2
25,20200409,2
25,20200416,2
25,20200423,2
25,20200430,2
25,20200521,2
25,20200327,2
25,20200403,2
25,20200410,2
25,20200417,2
25,20200424,2
25,20200501,2
26,20200407,2
26,20200410,2
27,20200407,1
28,20200323,2
28,20200330,2
28,20200406,2
28,20200413,2
28,20200420,2
28,20200427,2
28,20200324,2
28,20200331,2
28,20200407,2
28,20200414,2
28,20200421,2
28,20200428,2
28,20200325,2
28,20200401,2
28,20200408,2
28,20200415,2
28,20200422,2
28,20200429,2
28,20200520,2
28,20200326,2
28,20200402,2
28,20200409,2
28,20200416,2
28,20200423,2
28,20200430,2
28,20200322,2
28,20200329,2
28,20200405,2
28,20200412,2
28,20200419,2
28,20200426,2
28,20200531,2
29,20200404,2
30,20200404,1
31,20200323,2
31,20200330,2
31,20200406,2
31,20200413,2
31,20200420,2
31,20200427,2
31,20200601,2
31,20200324,2
31,20200331,2
31,20200407,2
31,20200414,2
31,20200421,2
31,20200428,2
31,20200325,2
31,20200401,2
31,20200408,2
31,20200415,2
31,20200422,2
31,20200429,2
31,20200326,2
31,20200402,2
31,20200409,2
31,20200416,2
31,20200423,2
31,20200430,2
31,20200521,2
31,20200320,2
31,20200327,2
31,20200403,2
31,20200410,2
31,20200417,2
31,20200424,2
31,20200501,2
32,20200601,1
32,20200521,1
32,20200501,1
32,20200321,2
32,20200328,2
32,20200404,2
32,20200411,2
32,20200418,2
32,20200425,2
32,20200322,2
32,20200329,2
32,20200405,2
32,20200412,2
32,20200419,2
32,20200426,2
33,20200323,2
33,20200330,2
33,20200406,2
33,20200324,2
33,20200331,2
33,20200407,2
33,20200325,2
33,20200401,2
33,20200408,2
33,20200326,2
33,20200402,2
33,20200409,2
33,20200327,2
33,20200403,2
34,20200323,1
34,20200330,1
34,20200406,1
34,20200324,1
34,20200331,1
34,20200407,1
34,20200325,1
34,20200401,1
34,20200408,1
34,20200326,1
34,20200402,1
34,20200409,1
34,20200327,1
34,20200403,1
35,20200323,2
35,20200330,2
35,20200406,2
35,20200324,2
35,20200331,2
35,20200407,2
35,20200325,2
35,20200401,2
35,20200326,2
35,20200402,2
35,20200327,2
35,20200403,2
35,20200321,2
35,20200328,2
35,20200404,2
35,20200322,2
35,20200329,2
35,20200405,2
36,20200323,1
36,20200330,1
36,20200324,1
36,20200331,1
36,20200325,1
36,20200401,1
36,20200326,1
36,20200402,1
36,20200327,1
36,20200403,1
36,20200321,1
36,20200328,1
36,20200404,1
36,20200322,1
36,20200329,1
36,20200405,1
37,20200323,2
37,20200330,2
37,20200406,2
37,20200413,2
37,20200420,2
37,20200427,2
37,20200324,2
37,20200331,2
37,20200407,2
37,20200414,2
37,20200421,2
37,20200428,2
37,20200325,2
37,20200401,2
37,20200408,2
37,20200415,2
37,20200422,2
37,20200429,2
37,20200326,2
37,20200402,2
37,20200409,2
37,20200416,2
37,20200423,2
37,20200430,2
37,20200320,2
37,20200327,2
37,20200403,2
37,20200410,2
37,20200417,2
37,20200424,2
37,20200321,2
37,20200328,2
37,20200404,2
37,20200411,2
37,20200418,2
37,20200425,2
37,20200322,2
37,20200329,2
37,20200405,2
37,20200412,2
37,20200419,2
37,20200426,2
38,20200601,1
38,20200521,1
38,20200501,1
38,20201003,1
38,20201031,1
38,20200322,2
38,20200329,2
38,20200405,2
38,20200412,2
38,20200419,2
38,20200426,2
39,20200323,2
39,20200330,2
39,20200406,2
39,20200413,2
39,20200420,2
39,20200427,2
39,20200601,2
39,20200324,2
39,20200331,2
39,20200407,2
39,20200414,2
39,20200421,2
39,20200428,2
39,20200325,2
39,20200401,2
39,20200408,2
39,20200415,2
39,20200422,2
39,20200429,2
39,20200326,2
39,20200402,2
39,20200409,2
39,20200416,2
39,20200423,2
39,20200430,2
39,20200521,2
39,20200320,2
39,20200327,2
39,20200403,2
39,20200410,2
39,20200417,2
39,20200424,2
39,20200501,2
39,20200321,2
39,20200328,2
39,20200404,2
39,20200411,2
39,20200418,2
39,20200425,2
39,20201003,2
39,20201031,2
40,20200323,2
40,20200330,2
40,20200406,2
40,20200413,2
40,20200601,2
40,20200324,2
40,20200331,2
40,20200407,2
40,20200325,2
40,20200401,2
40,20200408,2
40,20200326,2
40,20200402,2
40,20200409,2
40,20200521,2
40,20200327,2
40,20200403,2
40,20200410,2
40,20200501,2
41,20200323,2
41,20200330,2
41,20200406,2
41,20200324,2
41,20200331,2
41,20200407,2
41,20200325,2
