"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"8984_2",41,"RE20","Uelzen > Salzwedel > Magdeburg",2,"","",""
"8983_2",41,"RE2","",2,"","",""
"8982_2",41,"RB47","Uelzen > Braunschweig",2,"","",""
"8981_2",41,"RB37","Bremen > Soltau > Uelzen",2,"","",""
"8339_2",41,"RB33","Bremerhaven Hbf > Bremervörde > Kutenholz > Buxtehude",2,"","",""
"7779_2",41,"RE83","Lübeck Hbf > Ratzeburg > Büchen > Lüneburg",2,"","",""
"7778_2",41,"RE80","Lübeck Hbf > Bad Oldesloe > Ahrensburg > Hamburg Hbf",2,"","",""
"7777_2",41,"RE8","%RE8 / %RE80 / RB81 Gesamtverkehr Hamburg Hbf - Lübeck Hbf",2,"","",""
"7776_2",41,"RE70","Kiel > Neumünster > Elmshorn > Hamburg Hbf",2,"","",""
"7775_2",41,"RE7","Flensburg > Neumünster > Elmshorn > Hamburg Hbf",2,"","",""
"7774_2",41,"RE6","Westerland > Husum > Itzehoe > Elmshorn > Hamburg-Altona",2,"","",""
"7773_2",41,"RE5","Hamburg Hbf > Harburg > Stade > Himmelpforten > Cuxhaven",2,"","",""
"7772_2",41,"RE4","%RE4 / %RB41 Gesamtverkehr Hamburg > Bremen",2,"","",""
"7771_2",41,"RE3","%RE3 / %RB31 + RE2 Gesamtverkehr Hamburg >Lüneburg > Uelzen (> Hannover)",2,"","",""
"7770_2",41,"RE1","Hamburg Hbf > Büchen > Schwerin > Rostock",2,"","",""
"7769_2",41,"RB82","Neumünster > Bad Segeberg > Bad Oldesloe",2,"","",""
"7768_2",41,"RB81","Bad Oldesloe > Ahrensburg > Hamburg Hbf",2,"","",""
"7767_2",41,"RB71","%RE6  %RE7  %RE70  %RB61  %RB71  Elmshorn > Hamburg",2,"","",""
"7766_2",41,"RB61","Itzehoe > Elmshorn > Hamburg Hbf",2,"","",""
"7765_2",41,"RB41","Hamburg Hbf > Harburg > Buchholz > Tostedt > Bremen Hbf",2,"","",""
"7764_2",41,"RB38","(Harburg >) Buchholz > Handeloh > Soltau",2,"","",""
"7763_2",41,"RB32","Lüneburg > Dahlenburg > Dannenberg",2,"","",""
"7762_2",41,"RB31","Hamburg Hbf > Harburg > Winsen > Lüneburg",2,"","",""
"1689_3",41,"SEV","",3,"","",""
"1673_2",41,"A3","Elmshorn - Ulzburg Süd",2,"","",""
"1672_2",41,"A2","Norderstedt Mitte - Kaltenkirchen(Holst)",2,"","",""
"1671_2",41,"A1","Hamburg-Eidelstedt - Neumünster",2,"","",""
"9461_3",66,"978","-",3,"","",""
"9452_3",66,"S21-SEV","Berliner Tor > Bf. Bergedorf",3,"","",""
"9451_3",66,"S21-SEV Express","Berliner Tor > Bf. Bergedorf (> Berliner Tor)",3,"","",""
"9211_3",66,"543","Eißendorf > Bf. Harburg > Sinstorf > Emmelndorf",3,"","",""
