JAHR;SATZART1;SATZART2;NULAGX;FT_ENTF21;FT_I;FT_I_ZS;KM_I;KM_I_ZS;TON_I;TON_I_ZS;TKM_I;TKM_I_ZS;FT_G;FT_G_ZS;KM_G;KM_G_ZS;TON_G;TON_G_ZS;TKM_G;TKM_G_ZS
2023;1;1;1;1;6708988,1;;103947645,7;;13044401,8;;204804533,5;;6710232,4;;104220926,8;;13046456,9;;205372133,1;
2023;1;1;1;2;1318929,5;;96628003,8;;2774493,7;;203948065,3;;1318929,5;;97435729,5;;2774493,7;;205547949,8;
2023;1;1;1;3;821820,0;;101644299,1;;1772946,0;;219158372,3;;825047,7;;102741972,4;;1779081,7;;221663225,9;
2023;1;1;1;4;591710,7;;102429833,8;;1382263,8;;239784039,0;;592522,0;;103396125,1;;1384483,7;;242167841,1;
2023;1;1;1;5;204653,7;;44565880,1;;423697,1;;92753486,0;;205372,0;;45675962,7;;425948,2;;95018056,9;
2023;1;1;1;6;115611,4;;31254824,0;;260805,5;();70235050,2;();115611,4;;31809240,7;;260805,5;();71873467,0;()
2023;1;1;1;7;53937,0;();17122328,5;();116066,9;();36474566,1;();54276,0;();17460832,2;();116490,6;();37413606,4;()
2023;1;1;1;8;39156,3;();14207598,1;();85283,9;();31248180,2;();39156,3;();14532140,7;();85283,9;();31798264,3;()
2023;1;1;1;9;26542,9;();10619712,0;();59794,7;();24140837,6;();26542,9;();11196741,4;();59794,7;();25325733,7;()
2023;1;1;1;10;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;1;11;18474,5;();9392508,2;();45650,3;();22918608,0;();18752,7;();9871345,1;();47013,5;();24698084,2;()
2023;1;1;1;12;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;1;13;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;1;14;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;1;15;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;1;16;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;1;17;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;1;18;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;1;19;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;1;20;;-;;-;;-;;-;;-;;-;;-;;-
2023;1;1;1;21;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;2;1;19697983,0;;328899600,0;;69394732,7;;1135470472,8;;19724023,7;;329757263,0;;69448329,9;;1137839977,5;
2023;1;1;2;2;4764406,7;;348518191,3;;16882163,9;;1237661353,5;;4767543,5;;350461157,6;;16887207,1;;1243362189,5;
2023;1;1;2;3;3010084,2;;370791701,0;;10756594,5;;1326772171,1;;3012126,6;;373895667,5;;10770573,7;;1336142572,2;
2023;1;1;2;4;1942190,2;;336263561,8;;7047620,0;;1220749310,9;;1944265,6;;339889805,7;;7054267,3;;1233301536,3;
2023;1;1;2;5;830465,7;;181335476,8;;2899923,6;;631929788,1;;830465,7;;184982625,7;;2899923,6;;645675324,2;
2023;1;1;2;6;423674,0;;112680163,8;;1507424,0;;404262666,6;;424789,0;;116524622,3;;1513680,2;;415695447,4;
2023;1;1;2;7;232357,3;;73136161,0;;752537,4;;237614517,0;;233154,2;;75308749,5;;756916,9;;244292413,1;
2023;1;1;2;8;130801,8;;47238263,4;;484832,0;;173591568,4;;131211,1;;49036261,4;;486878,7;;181788474,1;
2023;1;1;2;9;83762,9;;32812817,9;;315376,2;;125147177,9;();84965,0;;35976168,5;;322396,6;;136777175,3;
2023;1;1;2;10;74597,1;;33841052,6;;319269,2;();143659744,9;();74597,1;;35393425,7;;319269,2;();151321295,3;()
2023;1;1;2;11;41016,5;();19644973,8;();183320,6;();88926232,0;();41522,2;();21773233,0;();186698,9;();97678917,5;()
2023;1;1;2;12;36562,5;();19703635,0;();179650,3;();98173846,1;();36900,2;();21223072,9;();182909,6;();105545957,5;()
2023;1;1;2;13;22112,7;();13136580,5;();91599,8;();53451141,9;();22794,7;();14136600,8;();96103,2;();59884958,8;()
2023;1;1;2;14;17999,6;();11127827,4;();93988,4;();57362869,6;();18464,8;();12494576,0;();95151,5;();64422222,3;()
2023;1;1;2;15;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;2;16;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;2;17;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;2;18;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;2;19;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;2;20;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;2;21;19038,5;();12565047,2;();97398,1;();;/;19741,6;();24811572,5;();102833,9;();131383987,8;()
2023;1;1;3;1;22421111,3;;372166825,1;;135963279,4;;2224778030,6;;22437580,8;;373145716,3;;136064305,0;;2230230423,9;
2023;1;1;3;2;3739948,9;;269068693,3;;24136811,2;;1743629645,9;;3747839,5;;270869266,1;;24199973,6;;1756936509,5;
2023;1;1;3;3;1784197,1;;218303840,7;;11709656,0;;1433698002,9;;1790364,4;;220014604,4;;11763750,8;;1446457873,8;
2023;1;1;3;4;974851,1;;167701573,7;;6725954,3;;1156742829,2;;976878,5;;169849102,1;;6738960,8;;1172505418,9;
2023;1;1;3;5;445287,9;;97404945,8;;2884355,0;;631980417,9;;449881,9;;100862898,2;;2929326,7;;658866365,9;
2023;1;1;3;6;256687,2;;68079126,1;;1773359,8;;466654126,0;;260218,0;;71229768,6;;1789549,1;;489937592,7;
2023;1;1;3;7;154145,4;;48102160,8;;1072571,1;;333907810,1;;156799,1;;50752345,8;;1100430,6;;356271226,6;
2023;1;1;3;8;98931,4;;35328784,0;;698617,3;;249733928,0;;99637,5;;37482419,5;;702948,8;;263892598,7;
2023;1;1;3;9;69037,5;;26717258,3;;567495,4;();217364887,7;();71026,4;;30093362,5;;575530,0;;243975330,6;
2023;1;1;3;10;61699,7;;27274400,1;;440539,9;;197492205,0;();62051,1;;29534120,4;;444757,2;;211940528,0;
2023;1;1;3;11;56202,2;;27514192,8;;429957,4;();209091421,4;();56202,2;;29463229,7;;429957,4;();225310844,5;()
2023;1;1;3;12;37181,3;();20431062,4;();291179,0;();162077168,0;();37916,6;();21962644,2;();293648,9;();170273828,0;()
2023;1;1;3;13;28991,5;();15212340,5;();227800,1;();118478521,6;();30380,0;();19071732,4;();240087,8;();150800541,2;()
2023;1;1;3;14;26611,6;();15451449,3;();236671,1;();139992622,9;();26611,6;();17926145,0;();236671,1;();159586950,2;()
2023;1;1;3;15;16278,8;();10177112,2;();164354,5;();103384339,2;();16841,9;();12198543,9;();167915,3;();121276192,7;()
2023;1;1;3;16;17817,5;();12496131,9;();188215,1;();131051993,1;();18858,4;();14602078,9;();193986,5;();150128463,7;()
2023;1;1;3;17;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;3;18;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;3;19;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;3;20;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;3;21;31421,6;();20232922,6;();251784,2;();154381715,3;();32668,2;();45543934,3;();262521,7;();376808780,3;()
2023;1;1;4;1;19009445,4;;297477501,5;;178932309,3;;2729438642,3;;19040326,5;;298577165,0;;179230958,6;;2739759386,2;
2023;1;1;4;2;2489874,9;;178344273,2;;22500393,7;;1618394226,3;;2499373,5;;180388064,0;;22590887,1;;1637168833,8;
2023;1;1;4;3;1330131,4;;162165073,5;;12111654,4;;1475491481,6;;1337597,7;;165162514,4;;12168999,8;;1500641547,8;
2023;1;1;4;4;820058,8;;139161377,5;;7354950,0;;1249101247,7;;823327,3;;143386447,4;;7387907,3;;1287391644,9;
2023;1;1;4;5;465783,1;;101607945,9;;4215235,8;;921399351,5;;468198,4;;105167434,1;;4242994,0;;954128768,0;
2023;1;1;4;6;338783,0;;90466159,0;;3143370,8;;832908489,4;;341773,1;;93920027,7;;3188287,3;;876769733,8;
2023;1;1;4;7;225448,2;;69967651,2;;2131553,7;;669420440,8;;225764,6;;73031344,3;;2137881,5;;691022359,3;
2023;1;1;4;8;120657,1;;43574556,6;;1144472,3;;416825330,2;;121278,2;;45366112,5;;1154490,8;;432790875,9;
2023;1;1;4;9;94141,2;;38663390,9;;950581,7;;392584917,7;;95102,6;;40375608,2;;955122,5;;406736911,0;
2023;1;1;4;10;75956,2;;34148958,4;;735847,1;();334804467,7;();77321,4;;36580303,0;;749155,8;();354329243,0;()
2023;1;1;4;11;56480,3;;28097817,1;;572507,9;();284715266,9;();56480,3;;29547836,0;;572507,9;();299281125,2;()
2023;1;1;4;12;53985,7;;29825511,4;;554787,3;();301540309,3;();54672,2;;31531884,1;;564290,4;();325014046,4;()
2023;1;1;4;13;40977,2;();23922899,2;();393983,4;();229406383,2;();40977,2;();25505126,3;();393983,4;();245489963,6;()
2023;1;1;4;14;24295,0;();14995003,9;();221177,9;();137929303,1;();24811,5;();16680724,2;();226045,9;();151888505,9;()
2023;1;1;4;15;21233,6;();14736510,4;();186893,8;();128771492,6;();21233,6;();15339506,9;();186893,8;();135336569,8;()
2023;1;1;4;16;15362,0;();10044642,2;();;/;;/;15362,0;();11878173,9;();;/;;/
2023;1;1;4;17;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;4;18;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;4;19;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;4;20;;/;;/;;/;;/;;/;;/;;/;;/
2023;1;1;4;21;26973,7;();21891250,8;();230444,4;();182818784,1;();28896,9;();38820176,6;();246608,8;();326327596,8;()
2023;1;1;5;1;19680705,4;;355516455,9;;295645368,7;;5322438894,7;;19731302,2;;358248898,6;;296359132,9;;5362300426,4;
2023;1;1;5;2;4666780,4;;335432272,5;;66570492,8;;4760339723,0;;4692614,2;;341757032,8;;66951200,2;;4858262258,4;
2023;1;1;5;3;2481401,9;;302644103,7;;34842307,2;;4245124113,6;;2503209,3;;309926664,9;;35113423,2;;4355320338,2;
2023;1;1;5;4;1626852,9;;277592268,0;;23353690,4;;3980617858,0;;1639494,0;;286693588,3;;23541329,4;;4116625092,3;
