JAHR;SATZART1;SATZART2;FT_ENTF3;BE_NUTS3;FT_I;FT_I_ZS;KM_I;KM_I_ZS;TON_I;TON_I_ZS;TKM_I;TKM_I_ZS;FT_G;FT_G_ZS;KM_G;KM_G_ZS;TON_G;TON_G_ZS;TKM_G;TKM_G_ZS
2023;3;1;1;DE111;755553,9;;12375282,0;;7064248,4;;112263924,8;;755553,9;;12375282,0;;7064248,4;;112263924,8;
2023;3;1;1;DE112;810717,6;;13438082,0;;9474692,3;;169137851,7;();810717,6;;13438082,0;;9474692,3;;169137851,7;()
2023;3;1;1;DE113;889303,3;;17265890,8;;9616058,0;;202652536,4;;889303,3;;17265890,8;;9616058,0;;202652536,4;
2023;3;1;1;DE114;459806,8;();7066270,8;;3832365,9;();68590706,4;();459806,8;();7066270,8;;3832365,9;();68590706,4;()
2023;3;1;1;DE115;1070772,3;;19720348,6;;10385819,6;;204969894,0;;1070772,3;;19720348,6;;10385819,6;;204969894,0;
2023;3;1;1;DE116;492047,1;;9616420,1;;3777419,6;;79296153,2;;492047,1;;9616420,1;;3777419,6;;79296153,2;
2023;3;1;1;DE117;386354,8;();5778670,1;;4500165,2;();69094470,1;();386354,8;();5778670,1;;4500165,2;();69094470,1;()
2023;3;1;1;DE118;639015,9;;11661368,0;;7728158,3;();141473528,4;;639015,9;;11661368,0;;7728158,3;();141473528,4;
2023;3;1;1;DE119;362546,9;();6946810,3;();4849732,5;();87888999,3;();362546,9;();6946810,3;();4849732,5;();87888999,3;()
2023;3;1;1;DE11A;464401,0;();8207604,2;;5775403,3;();105581188,9;();464401,0;();8207604,2;;5775403,3;();105581188,9;()
2023;3;1;1;DE11B;;/;3799836,7;();;/;39389843,9;();;/;3799836,7;();;/;39389843,9;()
2023;3;1;1;DE11C;329064,5;();6701759,5;;4258385,8;();97825115,8;();329064,5;();6701759,5;;4258385,8;();97825115,8;()
2023;3;1;1;DE11D;431285,0;;7992755,7;;5660318,0;();109207681,5;();431285,0;;7992755,7;;5660318,0;();109207681,5;()
2023;3;1;1;DE121;68950,9;();1311256,4;();;/;;/;68950,9;();1311256,4;();;/;;/
2023;3;1;1;DE122;308480,7;();6663246,6;;3309819,8;();75596774,8;();308480,7;();6663246,6;;3309819,8;();75596774,8;()
2023;3;1;1;DE123;750795,1;;15641668,4;;8682297,9;;188953256,1;;750795,1;;15641668,4;;8682297,9;;188953256,1;
