BE_NUTS3;FT_ENTF21;NULAGX;FT_I
DE111;1;1;87
DE111;1;2;277
DE111;1;3;267
DE111;1;4;223
DE111;1;5;288
DE111;1;6;327
DE111;1;7;548
DE111;1;8;42
DE111;1;9;12
DE111;2;1;23
DE111;2;2;73
DE111;2;3;71
DE111;2;4;59
DE111;2;5;76
DE111;2;6;87
DE111;2;7;145
DE111;2;8;11
DE111;2;9;3
DE111;3;1;5
DE111;3;2;16
DE111;3;3;15
DE111;3;4;13
DE111;3;5;17
DE111;3;6;19
DE111;3;7;31
DE111;3;8;2
DE111;3;9;1
DE111;4;1;3
DE111;4;2;10
DE111;4;3;10
DE111;4;4;8
DE111;4;5;11
DE111;4;6;12
DE111;4;7;20
DE111;4;8;2
DE111;4;9;0
DE111;5;1;2
DE111;5;2;7
DE111;5;3;6
DE111;5;4;5
DE111;5;5;7
DE111;5;6;8
DE111;5;7;13
DE111;5;8;1
DE111;5;9;0
DE111;6;1;2
DE111;6;2;5
DE111;6;3;5
DE111;6;4;4
DE111;6;5;5
DE111;6;6;6
DE111;6;7;10
DE111;6;8;1
DE111;6;9;0
DE111;7;1;1
DE111;7;2;3
DE111;7;3;3
DE111;7;4;3
DE111;7;5;3
DE111;7;6;4
DE111;7;7;7
DE111;7;8;1
DE111;7;9;0
DE111;8;1;1
DE111;8;2;2
DE111;8;3;2
DE111;8;4;2
DE111;8;5;2
DE111;8;6;3
DE111;8;7;4
DE111;8;8;0
DE111;8;9;0
DE111;9;1;1
DE111;9;2;2
DE111;9;3;2
DE111;9;4;1
DE111;9;5;2
DE111;9;6;2
DE111;9;7;3
DE111;9;8;0
DE111;9;9;0
DE111;10;1;0
DE111;10;2;1
DE111;10;3;1
DE111;10;4;1
DE111;10;5;1
DE111;10;6;2
DE111;10;7;3
DE111;10;8;0
DE111;10;9;0
DE111;11;1;0
DE111;11;2;1
DE111;11;3;1
DE111;11;4;1
DE111;11;5;1
DE111;11;6;1
DE111;11;7;2
DE111;11;8;0
DE111;11;9;0
DE111;12;1;0
DE111;12;2;1
DE111;12;3;1
DE111;12;4;1
DE111;12;5;1
DE111;12;6;1
DE111;12;7;2
DE111;12;8;0
DE111;12;9;0
DE111;13;1;0
DE111;13;2;1
DE111;13;3;1
DE111;13;4;1
DE111;13;5;1
DE111;13;6;1
DE111;13;7;1
DE111;13;8;0
DE111;13;9;0
DE111;14;1;0
DE111;14;2;0
DE111;14;3;0
DE111;14;4;0
DE111;14;5;0
DE111;14;6;0
DE111;14;7;1
DE111;14;8;0
DE111;14;9;0
DE111;15;1;0
DE111;15;2;0
DE111;15;3;0
DE111;15;4;0
DE111;15;5;0
DE111;15;6;0
DE111;15;7;1
DE111;15;8;0
DE111;15;9;0
DE111;16;1;0
DE111;16;2;0
DE111;16;3;0
DE111;16;4;0
DE111;16;5;0
DE111;16;6;0
DE111;16;7;0
DE111;16;8;0
DE111;16;9;0
DE111;17;1;0
DE111;17;2;0
DE111;17;3;0
DE111;17;4;0
DE111;17;5;0
DE111;17;6;0
DE111;17;7;0
DE111;17;8;0
DE111;17;9;0
DE111;18;1;0
DE111;18;2;0
DE111;18;3;0
DE111;18;4;0
DE111;18;5;0
DE111;18;6;0
DE111;18;7;0
DE111;18;8;0
DE111;18;9;0
DE111;19;1;0
DE111;19;2;0
DE111;19;3;0
DE111;19;4;0
DE111;19;5;0
