"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20201221,20211211
2,1,1,1,1,1,0,0,20201221,20211211
3,1,1,1,1,1,1,0,20201221,20211211
4,1,1,1,1,1,0,1,20201221,20211211
5,0,0,0,0,0,1,1,20201221,20211211
6,0,0,0,0,0,0,1,20201221,20211211
7,1,1,1,1,1,1,1,20201221,20211211
8,1,1,1,1,1,1,0,20201221,20211211
9,0,0,0,0,0,1,1,20201221,20211211
10,0,0,0,0,0,1,0,20201221,20211211
11,0,0,0,0,0,1,0,20201221,20211211
12,1,1,1,1,1,1,1,20201221,20211211
13,0,0,0,0,0,0,0,20201221,20211211
14,0,0,0,0,0,1,0,20201221,20211211
15,0,0,0,1,1,0,0,20201221,20211211
16,1,1,1,0,0,0,0,20201221,20211211
17,0,1,0,0,1,0,0,20201221,20211211
18,1,1,1,1,0,0,0,20201221,20211211
19,0,0,0,0,0,0,0,20201221,20211211
20,0,0,0,0,0,0,0,20201221,20211211
21,0,0,0,0,1,1,1,20201221,20211211
22,1,1,1,1,1,1,1,20201221,20211211
23,0,0,0,0,1,0,0,20201221,20211211
24,0,0,0,0,1,1,0,20201221,20211211
25,1,1,1,1,1,0,0,20201221,20211211
26,1,1,1,1,0,0,1,20201221,20211211
27,1,1,0,0,0,0,0,20201221,20211211
28,1,1,0,0,0,0,0,20201221,20211211
29,1,1,0,0,0,0,0,20201221,20211211
30,0,0,1,1,1,1,1,20201221,20211211
31,0,0,1,1,1,1,1,20201221,20211211
32,1,1,0,0,0,0,0,20201221,20211211
33,0,0,0,0,0,0,0,20201221,20211211
34,0,0,0,0,0,0,0,20201221,20211211
35,0,0,0,0,1,1,0,20201221,20211211
36,0,0,0,0,1,0,0,20201221,20211211
37,0,0,0,0,1,0,0,20201221,20211211
38,0,0,0,0,0,0,0,20201221,20211211
39,1,0,0,1,0,0,0,20201221,20211211
40,0,1,0,0,0,0,0,20201221,20211211
41,0,1,1,0,1,0,0,20201221,20211211
42,1,0,1,1,1,0,0,20201221,20211211
43,0,0,0,0,0,0,0,20201221,20211211
44,1,0,1,1,0,0,0,20201221,20211211
45,0,1,0,0,0,0,0,20201221,20211211
46,0,0,1,0,0,0,0,20201221,20211211
47,0,0,0,0,0,0,0,20201221,20211211
48,1,1,0,1,0,0,0,20201221,20211211
49,0,0,1,0,1,0,0,20201221,20211211
50,0,0,0,0,0,1,0,20201221,20211211
51,0,0,0,0,0,0,1,20201221,20211211
52,0,0,0,0,0,0,0,20201221,20211211
53,0,0,0,0,0,0,0,20201221,20211211
54,0,0,0,0,0,1,1,20201221,20211211
55,1,1,1,1,1,1,0,20201221,20211211
56,0,0,0,0,0,1,0,20201221,20211211
57,0,0,0,0,0,1,1,20201221,20211211
58,0,0,0,0,0,0,0,20201221,20211211
59,1,1,1,1,1,0,0,20201221,20211211
60,0,0,0,0,0,1,0,20201221,20211211
61,1,1,1,1,1,1,0,20201221,20211211
62,1,1,1,1,0,0,1,20201221,20211211
63,0,0,0,0,0,0,0,20201221,20211211
64,1,1,1,1,1,0,0,20201221,20211211
65,0,0,0,0,0,1,0,20201221,20211211
66,0,0,0,0,0,0,1,20201221,20211211
67,1,1,1,1,1,1,0,20201221,20211211
68,1,1,1,1,1,1,1,20201221,20211211
69,0,0,0,0,0,0,0,20201221,20211211
70,1,1,1,1,1,0,0,20201221,20211211
71,0,0,0,0,0,0,0,20201221,20211211
72,0,0,0,0,0,0,0,20201221,20211211
73,0,0,0,0,0,0,0,20201221,20211211
74,0,0,0,0,0,0,0,20201221,20211211
75,0,0,0,0,0,0,0,20201221,20211211
76,0,0,0,0,0,0,0,20201221,20211211
77,0,0,0,0,0,1,1,20201221,20211211
78,0,0,0,0,0,0,0,20201221,20211211
79,0,0,0,0,0,0,0,20201221,20211211
80,1,1,1,1,1,0,0,20201221,20211211
81,0,0,0,0,0,0,0,20201221,20211211
82,0,0,0,0,0,0,0,20201221,20211211
83,0,0,0,0,0,1,1,20201221,20211211
84,0,0,0,0,0,0,0,20201221,20211211
85,0,0,0,0,0,0,1,20201221,20211211
86,0,0,0,0,0,1,1,20201221,20211211
87,0,0,0,0,0,0,1,20201221,20211211
88,0,0,0,0,0,1,1,20201221,20211211
89,1,1,1,1,1,0,0,20201221,20211211
90,1,1,1,1,1,0,0,20201221,20211211
91,0,0,0,0,1,0,0,20201221,20211211
92,0,0,1,1,0,0,0,20201221,20211211
93,1,1,1,1,0,0,0,20201221,20211211
94,0,0,0,0,0,0,0,20201221,20211211
95,0,0,0,0,0,0,0,20201221,20211211
