"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type","stop_headsign"
26153153,8:28:00,8:28:00,090000909020,0,0,0,""
26153153,8:30:00,8:30:00,090000909000,1,0,0,""
26153153,8:32:00,8:32:00,090000909002,2,0,0,""
26153153,8:34:00,8:34:00,090000909004,3,0,0,""
26153153,8:35:00,8:35:00,090000909006,4,0,0,""
26153153,8:37:00,8:37:00,090000909008,5,0,0,""
26153153,8:39:00,8:39:00,090000909010,6,0,0,""
26153153,8:41:00,8:41:00,090000119000,7,0,0,""
26153153,8:43:00,8:43:00,090000119002,8,0,0,""
26153153,8:45:00,8:45:00,090000119004,9,0,0,""
26153153,8:47:00,8:47:00,090000119006,10,0,0,""
26153153,8:48:00,8:48:00,090000109019,11,0,0,""
26153153,8:50:00,8:50:00,090000109015,12,0,0,""
26153153,8:52:00,8:52:00,090000109009,13,0,0,""
26153153,8:54:00,8:54:00,090000109007,14,0,0,""
26153153,8:55:00,8:55:00,090000109003,15,0,0,""
26153153,8:57:00,8:57:00,090000609009,16,0,0,""
26153153,8:58:00,8:58:00,090000609007,17,0,0,""
26153153,9:00:00,9:00:00,090000609005,18,0,0,""
26153153,9:02:00,9:02:00,090000609003,19,0,0,""
26153153,9:03:00,9:03:00,090000609001,20,0,0,""
26153153,9:05:00,9:06:00,090000639005,21,0,0,""
26153153,9:08:00,9:08:00,090000639003,22,0,0,""
26153153,9:10:00,9:10:00,090000639009,23,0,0,""
26152728,10:00:00,10:00:00,090000909020,0,0,0,""
26152728,10:02:00,10:02:00,090000909000,1,0,0,""
26152728,10:04:00,10:04:00,090000909002,2,0,0,""
26152728,10:06:00,10:06:00,090000909004,3,0,0,""
26152728,10:07:00,10:07:00,090000909006,4,0,0,""
26152728,10:09:00,10:09:00,090000909008,5,0,0,""
26152728,10:11:00,10:11:00,090000909010,6,0,0,""
26152728,10:13:00,10:13:00,090000119000,7,0,0,""
26152728,10:15:00,10:15:00,090000119002,8,0,0,""
26152728,10:17:00,10:17:00,090000119004,9,0,0,""
26152728,10:19:00,10:19:00,090000119006,10,0,0,""
26152728,10:20:00,10:20:00,090000109019,11,0,0,""
26152728,10:22:00,10:22:00,090000109015,12,0,0,""
26152728,10:24:00,10:24:00,090000109009,13,0,0,""
26152728,10:26:00,10:26:00,090000109007,14,0,0,""
26152728,10:27:00,10:27:00,090000109003,15,0,0,""
26152728,10:29:00,10:29:00,090000609009,16,0,0,""
26152728,10:30:00,10:30:00,090000609007,17,0,0,""
26152728,10:32:00,10:32:00,090000609005,18,0,0,""
26152728,10:34:00,10:34:00,090000609003,19,0,0,""
26152728,10:35:00,10:35:00,090000609001,20,0,0,""
26152728,10:37:00,10:38:00,090000639005,21,0,0,""
26152728,10:40:00,10:40:00,090000639003,22,0,0,""
26152728,10:42:00,10:42:00,090000639010,23,0,0,""
25980030,10:10:00,10:10:00,090000909020,0,0,0,""
25980030,10:12:00,10:12:00,090000909000,1,0,0,""
25980030,10:14:00,10:14:00,090000909002,2,0,0,""
25980030,10:16:00,10:16:00,090000909004,3,0,0,""
25980030,10:17:00,10:17:00,090000909006,4,0,0,""
25980030,10:19:00,10:19:00,090000909008,5,0,0,""
25980030,10:21:00,10:21:00,090000909010,6,0,0,""
25980030,10:23:00,10:23:00,090000119000,7,0,0,""
25980030,10:25:00,10:25:00,090000119002,8,0,0,""
25980030,10:27:00,10:27:00,090000119004,9,0,0,""
25980030,10:29:00,10:29:00,090000119006,10,0,0,""
25980030,10:30:00,10:30:00,090000109019,11,0,0,""
25980030,10:32:00,10:32:00,090000109015,12,0,0,""
25980030,10:34:00,10:34:00,090000109009,13,0,0,""
25980030,10:36:00,10:36:00,090000109007,14,0,0,""
25980030,10:37:00,10:37:00,090000109003,15,0,0,""
25980030,10:39:00,10:39:00,090000609009,16,0,0,""
25980030,10:40:00,10:40:00,090000609007,17,0,0,""
25980030,10:42:00,10:42:00,090000609005,18,0,0,""
25980030,10:44:00,10:44:00,090000609003,19,0,0,""
25980030,10:45:00,10:45:00,090000609001,20,0,0,""
25980030,10:47:00,10:48:00,090000639005,21,0,0,""
25980030,10:50:00,10:50:00,090000639003,22,0,0,""
25980030,10:52:00,10:52:00,090000639010,23,0,0,""
26152726,10:20:00,10:20:00,090000909020,0,0,0,""
26152726,10:22:00,10:22:00,090000909000,1,0,0,""
26152726,10:24:00,10:24:00,090000909002,2,0,0,""
26152726,10:26:00,10:26:00,090000909004,3,0,0,""
26152726,10:27:00,10:27:00,090000909006,4,0,0,""
26152726,10:29:00,10:29:00,090000909008,5,0,0,""
26152726,10:31:00,10:31:00,090000909010,6,0,0,""
26152726,10:33:00,10:33:00,090000119000,7,0,0,""
26152726,10:35:00,10:35:00,090000119002,8,0,0,""
26152726,10:37:00,10:37:00,090000119004,9,0,0,""
26152726,10:39:00,10:39:00,090000119006,10,0,0,""
26152726,10:40:00,10:40:00,090000109019,11,0,0,""
26152726,10:42:00,10:42:00,090000109015,12,0,0,""
26152726,10:44:00,10:44:00,090000109009,13,0,0,""
26152726,10:46:00,10:46:00,090000109007,14,0,0,""
26152726,10:47:00,10:47:00,090000109003,15,0,0,""
26152726,10:49:00,10:49:00,090000609009,16,0,0,""
26152726,10:50:00,10:50:00,090000609007,17,0,0,""
26152726,10:52:00,10:52:00,090000609005,18,0,0,""
26152726,10:54:00,10:54:00,090000609003,19,0,0,""
26152726,10:55:00,10:55:00,090000609001,20,0,0,""
26152726,10:57:00,10:58:00,090000639005,21,0,0,""
26152726,11:00:00,11:00:00,090000639003,22,0,0,""
26152726,11:02:00,11:02:00,090000639010,23,0,0,""
26152725,10:30:00,10:30:00,090000909020,0,0,0,""
26152725,10:32:00,10:32:00,090000909000,1,0,0,""
26152725,10:34:00,10:34:00,090000909002,2,0,0,""
26152725,10:36:00,10:36:00,090000909004,3,0,0,""
26152725,10:37:00,10:37:00,090000909006,4,0,0,""
26152725,10:39:00,10:39:00,090000909008,5,0,0,""
26152725,10:41:00,10:41:00,090000909010,6,0,0,""
26152725,10:43:00,10:43:00,090000119000,7,0,0,""
26152725,10:45:00,10:45:00,090000119002,8,0,0,""
26152725,10:47:00,10:47:00,090000119004,9,0,0,""
26152725,10:49:00,10:49:00,090000119006,10,0,0,""
26152725,10:50:00,10:50:00,090000109019,11,0,0,""
26152725,10:52:00,10:52:00,090000109015,12,0,0,""
26152725,10:54:00,10:54:00,090000109009,13,0,0,""
26152725,10:56:00,10:56:00,090000109007,14,0,0,""
26152725,10:57:00,10:57:00,090000109003,15,0,0,""
26152725,10:59:00,10:59:00,090000609009,16,0,0,""
26152725,11:00:00,11:00:00,090000609007,17,0,0,""
26152725,11:02:00,11:02:00,090000609005,18,0,0,""
26152725,11:04:00,11:04:00,090000609003,19,0,0,""
26152725,11:05:00,11:05:00,090000609001,20,0,0,""
26152725,11:07:00,11:08:00,090000639005,21,0,0,""
26152725,11:10:00,11:10:00,090000639003,22,0,0,""
26152725,11:12:00,11:12:00,090000639010,23,0,0,""
26152724,10:40:00,10:40:00,090000909020,0,0,0,""
26152724,10:42:00,10:42:00,090000909000,1,0,0,""
26152724,10:44:00,10:44:00,090000909002,2,0,0,""
26152724,10:46:00,10:46:00,090000909004,3,0,0,""
26152724,10:47:00,10:47:00,090000909006,4,0,0,""
26152724,10:49:00,10:49:00,090000909008,5,0,0,""
26152724,10:51:00,10:51:00,090000909010,6,0,0,""
26152724,10:53:00,10:53:00,090000119000,7,0,0,""
26152724,10:55:00,10:55:00,090000119002,8,0,0,""
26152724,10:57:00,10:57:00,090000119004,9,0,0,""
26152724,10:59:00,10:59:00,090000119006,10,0,0,""
26152724,11:00:00,11:00:00,090000109019,11,0,0,""
26152724,11:02:00,11:02:00,090000109015,12,0,0,""
26152724,11:04:00,11:04:00,090000109009,13,0,0,""
26152724,11:06:00,11:06:00,090000109007,14,0,0,""
26152724,11:07:00,11:07:00,090000109003,15,0,0,""
26152724,11:09:00,11:09:00,090000609009,16,0,0,""
26152724,11:10:00,11:10:00,090000609007,17,0,0,""
26152724,11:12:00,11:12:00,090000609005,18,0,0,""
26152724,11:14:00,11:14:00,090000609003,19,0,0,""
26152724,11:15:00,11:15:00,090000609001,20,0,0,""
26152724,11:17:00,11:18:00,090000639005,21,0,0,""
26152724,11:20:00,11:20:00,090000639003,22,0,0,""
26152724,11:22:00,11:22:00,090000639010,23,0,0,""
25980029,10:50:00,10:50:00,090000909020,0,0,0,""
25980029,10:52:00,10:52:00,090000909000,1,0,0,""
25980029,10:54:00,10:54:00,090000909002,2,0,0,""
25980029,10:56:00,10:56:00,090000909004,3,0,0,""
25980029,10:57:00,10:57:00,090000909006,4,0,0,""
25980029,10:59:00,10:59:00,090000909008,5,0,0,""
25980029,11:01:00,11:01:00,090000909010,6,0,0,""
25980029,11:03:00,11:03:00,090000119000,7,0,0,""
25980029,11:05:00,11:05:00,090000119002,8,0,0,""
25980029,11:07:00,11:07:00,090000119004,9,0,0,""
25980029,11:09:00,11:09:00,090000119006,10,0,0,""
25980029,11:10:00,11:10:00,090000109019,11,0,0,""
25980029,11:12:00,11:12:00,090000109015,12,0,0,""
25980029,11:14:00,11:14:00,090000109009,13,0,0,""
25980029,11:16:00,11:16:00,090000109007,14,0,0,""
25980029,11:17:00,11:17:00,090000109003,15,0,0,""
25980029,11:19:00,11:19:00,090000609009,16,0,0,""
25980029,11:20:00,11:20:00,090000609007,17,0,0,""
25980029,11:22:00,11:22:00,090000609005,18,0,0,""
25980029,11:24:00,11:24:00,090000609003,19,0,0,""
25980029,11:25:00,11:25:00,090000609001,20,0,0,""
25980029,11:27:00,11:28:00,090000639005,21,0,0,""
25980029,11:30:00,11:30:00,090000639003,22,0,0,""
25980029,11:32:00,11:32:00,090000639010,23,0,0,""
25980028,11:00:00,11:00:00,090000909020,0,0,0,""
25980028,11:02:00,11:02:00,090000909000,1,0,0,""
25980028,11:04:00,11:04:00,090000909002,2,0,0,""
25980028,11:06:00,11:06:00,090000909004,3,0,0,""
25980028,11:07:00,11:07:00,090000909006,4,0,0,""
25980028,11:09:00,11:09:00,090000909008,5,0,0,""
25980028,11:11:00,11:11:00,090000909010,6,0,0,""
25980028,11:13:00,11:13:00,090000119000,7,0,0,""
25980028,11:15:00,11:15:00,090000119002,8,0,0,""
25980028,11:17:00,11:17:00,090000119004,9,0,0,""
25980028,11:19:00,11:19:00,090000119006,10,0,0,""
25980028,11:20:00,11:20:00,090000109019,11,0,0,""
25980028,11:22:00,11:22:00,090000109015,12,0,0,""
25980028,11:24:00,11:24:00,090000109009,13,0,0,""
25980028,11:26:00,11:26:00,090000109007,14,0,0,""
25980028,11:27:00,11:27:00,090000109003,15,0,0,""
25980028,11:29:00,11:29:00,090000609009,16,0,0,""
25980028,11:30:00,11:30:00,090000609007,17,0,0,""
25980028,11:32:00,11:32:00,090000609005,18,0,0,""
25980028,11:34:00,11:34:00,090000609003,19,0,0,""
25980028,11:35:00,11:35:00,090000609001,20,0,0,""
25980028,11:37:00,11:38:00,090000639005,21,0,0,""
25980028,11:40:00,11:40:00,090000639003,22,0,0,""
25980028,11:42:00,11:42:00,090000639010,23,0,0,""
25980027,11:10:00,11:10:00,090000909020,0,0,0,""
25980027,11:12:00,11:12:00,090000909000,1,0,0,""
25980027,11:14:00,11:14:00,090000909002,2,0,0,""
25980027,11:16:00,11:16:00,090000909004,3,0,0,""
25980027,11:17:00,11:17:00,090000909006,4,0,0,""
25980027,11:19:00,11:19:00,090000909008,5,0,0,""
25980027,11:21:00,11:21:00,090000909010,6,0,0,""
25980027,11:23:00,11:23:00,090000119000,7,0,0,""
25980027,11:25:00,11:25:00,090000119002,8,0,0,""
25980027,11:27:00,11:27:00,090000119004,9,0,0,""
25980027,11:29:00,11:29:00,090000119006,10,0,0,""
25980027,11:30:00,11:30:00,090000109019,11,0,0,""
25980027,11:32:00,11:32:00,090000109015,12,0,0,""
25980027,11:34:00,11:34:00,090000109009,13,0,0,""
25980027,11:36:00,11:36:00,090000109007,14,0,0,""
25980027,11:37:00,11:37:00,090000109003,15,0,0,""
25980027,11:39:00,11:39:00,090000609009,16,0,0,""
25980027,11:40:00,11:40:00,090000609007,17,0,0,""
25980027,11:42:00,11:42:00,090000609005,18,0,0,""
25980027,11:44:00,11:44:00,090000609003,19,0,0,""
25980027,11:45:00,11:45:00,090000609001,20,0,0,""
25980027,11:47:00,11:48:00,090000639005,21,0,0,""
25980027,11:50:00,11:50:00,090000639003,22,0,0,""
25980027,11:52:00,11:52:00,090000639010,23,0,0,""
25980026,11:20:00,11:20:00,090000909020,0,0,0,""
25980026,11:22:00,11:22:00,090000909000,1,0,0,""
25980026,11:24:00,11:24:00,090000909002,2,0,0,""
25980026,11:26:00,11:26:00,090000909004,3,0,0,""
25980026,11:27:00,11:27:00,090000909006,4,0,0,""
25980026,11:29:00,11:29:00,090000909008,5,0,0,""
25980026,11:31:00,11:31:00,090000909010,6,0,0,""
25980026,11:33:00,11:33:00,090000119000,7,0,0,""
25980026,11:35:00,11:35:00,090000119002,8,0,0,""
25980026,11:37:00,11:37:00,090000119004,9,0,0,""
25980026,11:39:00,11:39:00,090000119006,10,0,0,""
25980026,11:40:00,11:40:00,090000109019,11,0,0,""
25980026,11:42:00,11:42:00,090000109015,12,0,0,""
25980026,11:44:00,11:44:00,090000109009,13,0,0,""
25980026,11:46:00,11:46:00,090000109007,14,0,0,""
25980026,11:47:00,11:47:00,090000109003,15,0,0,""
25980026,11:49:00,11:49:00,090000609009,16,0,0,""
25980026,11:50:00,11:50:00,090000609007,17,0,0,""
25980026,11:52:00,11:52:00,090000609005,18,0,0,""
25980026,11:54:00,11:54:00,090000609003,19,0,0,""
25980026,11:55:00,11:55:00,090000609001,20,0,0,""
25980026,11:57:00,11:58:00,090000639005,21,0,0,""
25980026,12:00:00,12:00:00,090000639003,22,0,0,""
25980026,12:02:00,12:02:00,090000639010,23,0,0,""
25980025,11:30:00,11:30:00,090000909020,0,0,0,""
25980025,11:32:00,11:32:00,090000909000,1,0,0,""
25980025,11:34:00,11:34:00,090000909002,2,0,0,""
25980025,11:36:00,11:36:00,090000909004,3,0,0,""
25980025,11:37:00,11:37:00,090000909006,4,0,0,""
25980025,11:39:00,11:39:00,090000909008,5,0,0,""
25980025,11:41:00,11:41:00,090000909010,6,0,0,""
25980025,11:43:00,11:43:00,090000119000,7,0,0,""
25980025,11:45:00,11:45:00,090000119002,8,0,0,""
25980025,11:47:00,11:47:00,090000119004,9,0,0,""
25980025,11:49:00,11:49:00,090000119006,10,0,0,""
25980025,11:50:00,11:50:00,090000109019,11,0,0,""
25980025,11:52:00,11:52:00,090000109015,12,0,0,""
25980025,11:54:00,11:54:00,090000109009,13,0,0,""
25980025,11:56:00,11:56:00,090000109007,14,0,0,""
25980025,11:57:00,11:57:00,090000109003,15,0,0,""
25980025,11:59:00,11:59:00,090000609009,16,0,0,""
25980025,12:00:00,12:00:00,090000609007,17,0,0,""
25980025,12:02:00,12:02:00,090000609005,18,0,0,""
25980025,12:04:00,12:04:00,090000609003,19,0,0,""
25980025,12:05:00,12:05:00,090000609001,20,0,0,""
25980025,12:07:00,12:08:00,090000639005,21,0,0,""
25980025,12:10:00,12:10:00,090000639003,22,0,0,""
25980025,12:12:00,12:12:00,090000639010,23,0,0,""
25980024,11:40:00,11:40:00,090000909020,0,0,0,""
25980024,11:42:00,11:42:00,090000909000,1,0,0,""
25980024,11:44:00,11:44:00,090000909002,2,0,0,""
25980024,11:46:00,11:46:00,090000909004,3,0,0,""
25980024,11:47:00,11:47:00,090000909006,4,0,0,""
