gender;length;age;worker;partTimeWorker;averageSpeed;speed;position;height;width;mass
1;0.22;29;True;False;True;0;;1.7;0.46;65
0;0.22;26;True;True;True;0;;1.72;0.46;75.35
1;0.22;33;True;False;True;0;;1.71;0.46;66.94
1;0.22;49;True;True;True;0;;1.71;0.46;62.51
1;0.22;55;True;False;True;0;;1.72;0.46;71.06
1;0.22;19;True;True;True;0;;1.71;0.46;69.06
1;0.23;27;True;False;True;0;;1.75;0.47;62.04
0;0.22;29;True;False;True;0;;1.72;0.46;89
0;0.22;28;True;False;True;0;;1.72;0.46;94.97
1;0.22;50;True;False;True;0;;1.7;0.46;71.41
0;0.22;22;True;False;True;0;;1.72;0.46;82.99
1;0.22;60;True;False;True;0;;1.71;0.46;69.16
1;0.22;62;True;False;True;0;;1.69;0.46;73.58
1;0.23;62;True;True;True;0;;1.74;0.47;69.6
0;0.22;48;True;False;True;0;;1.72;0.46;85.97
0;0.22;39;True;False;True;0;;1.71;0.46;91.44
0;0.22;36;True;True;True;0;;1.72;0.46;88.78
1;0.22;47;True;False;True;0;;1.71;0.46;65.08
1;0.22;35;True;False;True;0;;1.69;0.46;71.54
1;0.22;47;True;False;True;0;;1.71;0.46;66.64
0;0.22;21;True;False;True;0;;1.71;0.46;88.1
1;0.23;49;True;True;True;0;;1.74;0.47;76.21
1;0.22;24;True;False;True;0;;1.71;0.46;66.01
1;0.22;25;True;False;True;0;;1.73;0.47;69.87
1;0.23;22;True;False;True;0;;1.75;0.47;66.05
1;0.22;25;True;True;True;0;;1.73;0.47;68.38
1;0.22;30;True;True;True;0;;1.72;0.46;67.62
1;0.22;28;True;False;True;0;;1.72;0.46;60.48
0;0.22;49;True;False;True;0;;1.71;0.46;84.78
0;0.22;61;True;False;True;0;;1.73;0.47;78.95
1;0.23;45;True;False;True;0;;1.75;0.47;72.69
1;0.22;41;True;False;True;0;;1.73;0.47;65.18
1;0.23;29;True;False;True;0;;1.74;0.47;68.49
0;0.22;61;True;False;True;0;;1.71;0.46;81.31
0;0.23;49;True;True;True;0;;1.77;0.48;94.21
0;0.22;59;True;False;True;0;;1.7;0.46;86.57
0;0.22;59;True;False;True;0;;1.7;0.46;82.14
0;0.23;60;True;False;True;0;;1.76;0.48;88.06
1;0.22;56;True;True;True;0;;1.69;0.46;63.72
0;0.22;36;False;False;True;0;;1.71;0.46;74.58
1;0.22;32;True;False;True;0;;1.71;0.46;76.52
0;0.22;21;True;True;True;0;;1.7;0.46;84.2
0;0.22;35;True;False;True;0;;1.7;0.46;84.33
0;0.22;23;True;False;True;0;;1.72;0.46;86.91
0;0.22;57;True;False;True;0;;1.7;0.46;76.17
0;0.22;61;True;False;True;0;;1.73;0.47;85.61
1;0.22;41;True;False;True;0;;1.72;0.46;67.19
1;0.22;49;False;False;True;0;;1.71;0.46;69.49
0;0.22;48;False;False;True;0;;1.72;0.46;87.26
1;0.22;41;True;False;True;0;;1.71;0.46;71.22
0;0.22;24;True;True;True;0;;1.71;0.46;86.01
1;0.22;18;False;False;True;0;;1.71;0.46;60.3
0;0.22;27;True;False;True;0;;1.72;0.46;76.04
1;0.22;37;True;False;True;0;;1.73;0.47;67.74
0;0.22;41;True;False;True;0;;1.7;0.46;83.08
1;0.22;29;True;False;True;0;;1.72;0.46;68.94
0;0.23;49;True;False;True;0;;1.74;0.47;81.71
1;0.22;48;False;False;True;0;;1.71;0.46;60.12
1;0.22;44;True;True;True;0;;1.73;0.47;66.8
1;0.22;54;True;True;True;0;;1.71;0.46;70.15
1;0.22;49;True;False;True;0;;1.71;0.46;76.78
0;0.22;26;True;False;True;0;;1.72;0.46;83.74
0;0.23;47;True;False;True;0;;1.74;0.47;77.68
0;0.22;60;True;True;True;0;;1.72;0.46;89.1
0;0.23;21;True;False;True;0;;1.74;0.47;87.67
1;0.22;37;True;False;True;0;;1.72;0.46;73.61
0;0.22;28;True;False;True;0;;1.71;0.46;89.29
0;0.22;19;True;False;True;0;;1.73;0.47;91.82
1;0.22;35;False;False;True;0;;1.72;0.46;70.35
0;0.22;58;True;True;True;0;;1.72;0.46;89.32
1;0.22;44;True;False;True;0;;1.73;0.47;62.47
0;0.22;53;True;False;True;0;;1.72;0.46;79.73
1;0.22;43;True;False;True;0;;1.73;0.47;59.96
1;0.23;45;False;False;True;0;;1.74;0.47;65.71
0;0.22;51;True;True;True;0;;1.71;0.46;80.29
1;0.22;20;True;False;True;0;;1.72;0.46;57.11
1;0.22;59;True;True;True;0;;1.72;0.46;66.26
1;0.22;29;True;False;True;0;;1.7;0.46;65.57
1;0.23;46;True;False;True;0;;1.75;0.47;73.4
1;0.22;53;True;True;True;0;;1.73;0.47;74.48
0;0.23;54;True;False;True;0;;1.76;0.48;83.97
0;0.22;44;True;False;True;0;;1.73;0.47;83.61
0;0.22;63;True;False;True;0;;1.72;0.46;88.2
1;0.22;26;True;True;True;0;;1.73;0.47;61.1
0;0.23;40;False;False;True;0;;1.74;0.47;85.22
1;0.23;55;True;True;True;0;;1.75;0.47;60.95
1;0.22;57;True;False;True;0;;1.7;0.46;69.64
1;0.22;28;True;False;True;0;;1.73;0.47;78.9
1;0.22;48;True;True;True;0;;1.71;0.46;76.33
1;0.22;43;True;False;True;0;;1.73;0.47;71.21
1;0.22;28;True;False;True;0;;1.71;0.46;61.31
0;0.22;21;True;False;True;0;;1.71;0.46;75.77
1;0.23;45;True;True;True;0;;1.74;0.47;69.36
0;0.23;41;True;False;True;0;;1.76;0.48;81.82
1;0.22;36;True;False;True;0;;1.72;0.46;72.19
0;0.22;35;True;False;True;0;;1.68;0.45;86.71
0;0.22;40;True;False;True;0;;1.71;0.46;80.03
1;0.22;42;True;False;True;0;;1.67;0.45;59.17
0;0.22;52;True;False;True;0;;1.72;0.46;83.97
0;0.23;21;True;False;True;0;;1.74;0.47;80.96
1;0.22;19;True;True;True;0;;1.73;0.47;54.55
1;0.22;47;True;True;True;0;;1.71;0.46;64.06
1;0.22;46;True;True;True;0;;1.72;0.46;66.65
0;0.22;46;True;True;True;0;;1.69;0.46;76.75
0;0.22;24;True;False;True;0;;1.71;0.46;85.34
0;0.22;21;True;False;True;0;;1.73;0.47;76.05
0;0.22;62;True;False;True;0;;1.7;0.46;88.27
0;0.23;26;True;False;True;0;;1.74;0.47;86.74
1;0.23;22;True;False;True;0;;1.75;0.47;65.56
1;0.23;60;True;True;True;0;;1.74;0.47;67.25
0;0.22;41;True;False;True;0;;1.71;0.46;82.05
1;0.23;37;True;False;True;0;;1.74;0.47;69.92
1;0.22;21;True;False;True;0;;1.71;0.46;67.49
1;0.23;37;True;False;True;0;;1.74;0.47;67.02
0;0.22;24;True;True;True;0;;1.69;0.46;79.83
1;0.22;38;False;False;True;0;;1.73;0.47;65.31
1;0.22;26;True;True;True;0;;1.72;0.46;75.69
1;0.22;47;True;False;True;0;;1.73;0.47;66.74
0;0.23;56;True;False;True;0;;1.74;0.47;96.29
1;0.22;18;False;False;True;0;;1.71;0.46;69.47
0;0.22;25;True;True;True;0;;1.73;0.47;73.96
0;0.22;61;True;True;True;0;;1.69;0.46;91.09
0;0.22;35;True;False;True;0;;1.73;0.47;80.69
0;0.23;29;True;False;True;0;;1.75;0.47;86.53
0;0.22;39;True;True;True;0;;1.73;0.47;85.64
1;0.23;37;True;False;True;0;;1.74;0.47;64.84
0;0.23;55;True;False;True;0;;1.74;0.47;82.45
1;0.22;56;True;True;True;0;;1.7;0.46;76.24
0;0.22;36;True;False;True;0;;1.69;0.46;82.45
1;0.22;27;True;False;True;0;;1.73;0.47;70.5
1;0.23;25;False;False;True;0;;1.74;0.47;63.45
1;0.22;21;True;True;True;0;;1.71;0.46;73.64
1;0.22;36;True;True;True;0;;1.69;0.46;68.32
0;0.22;40;True;False;True;0;;1.7;0.46;86.23
0;0.22;29;True;True;True;0;;1.73;0.47;93.36
