"service_id","date","exception_type"
1,20201221,2
1,20201228,2
1,20210104,2
1,20210405,2
1,20210412,2
1,20210524,2
1,20210621,2
1,20210628,2
1,20210705,2
1,20210712,2
1,20210719,2
1,20210726,2
1,20211004,2
1,20211011,2
1,20201222,2
1,20201229,2
1,20210105,2
1,20210406,2
1,20210413,2
1,20210622,2
1,20210629,2
1,20210706,2
1,20210713,2
1,20210720,2
1,20210727,2
1,20211005,2
1,20211012,2
1,20201223,2
1,20201230,2
1,20210106,2
1,20210407,2
1,20210414,2
1,20210623,2
1,20210630,2
1,20210707,2
1,20210714,2
1,20210721,2
1,20210728,2
1,20211006,2
1,20211013,2
1,20201224,2
1,20201231,2
1,20210401,2
1,20210408,2
1,20210415,2
1,20210513,2
1,20210624,2
1,20210701,2
1,20210708,2
1,20210715,2
1,20210722,2
1,20210729,2
1,20211007,2
1,20211014,2
1,20201225,2
1,20210101,2
1,20210402,2
1,20210409,2
1,20210416,2
1,20210514,2
1,20210625,2
1,20210702,2
1,20210709,2
1,20210716,2
1,20210723,2
1,20210730,2
1,20211008,2
1,20211015,2
2,20210405,2
2,20210524,2
2,20201224,2
2,20201231,2
2,20210513,2
2,20201225,2
2,20210101,2
2,20210402,2
3,20210405,2
3,20210524,2
3,20210513,2
3,20201225,2
3,20210101,2
3,20210402,2
3,20201226,2
3,20210501,2
4,20201224,2
4,20201231,2
4,20201226,1
4,20210501,1
5,20210405,1
5,20210524,1
5,20201224,1
5,20201231,1
5,20210513,1
5,20201225,1
5,20210101,1
5,20210402,1
6,20210405,1
6,20210524,1
6,20210513,1
6,20201225,1
6,20210101,1
6,20210402,1
6,20201226,1
6,20210501,1
8,20210405,2
8,20210524,2
8,20201224,2
8,20201231,2
8,20210513,2
8,20201225,2
8,20210101,2
8,20210402,2
8,20201226,2
8,20210501,2
9,20210405,1
9,20210524,1
9,20210513,1
9,20201225,1
9,20210101,1
9,20210402,1
10,20201226,2
10,20210501,2
11,20201224,1
11,20201231,1
11,20201226,2
11,20210501,2
12,20201224,2
12,20201231,2
13,20201221,1
13,20201228,1
13,20210104,1
13,20210412,1
13,20210621,1
13,20210628,1
13,20210705,1
13,20210712,1
13,20210719,1
13,20210726,1
13,20211004,1
13,20211011,1
13,20201222,1
13,20201229,1
13,20210105,1
13,20210406,1
13,20210413,1
13,20210622,1
13,20210629,1
13,20210706,1
13,20210713,1
13,20210720,1
13,20210727,1
13,20211005,1
13,20211012,1
13,20201223,1
13,20201230,1
13,20210106,1
13,20210407,1
13,20210414,1
13,20210623,1
13,20210630,1
13,20210707,1
13,20210714,1
13,20210721,1
13,20210728,1
13,20211006,1
13,20211013,1
13,20210401,1
13,20210408,1
13,20210415,1
13,20210624,1
13,20210701,1
13,20210708,1
13,20210715,1
13,20210722,1
13,20210729,1
13,20211007,1
13,20211014,1
13,20210409,1
13,20210416,1
13,20210514,1
13,20210625,1
13,20210702,1
13,20210709,1
13,20210716,1
13,20210723,1
13,20210730,1
13,20211008,1
13,20211015,1
14,20201221,1
14,20201228,1
14,20210104,1
14,20210412,1
14,20210621,1
14,20210628,1
14,20210705,1
14,20210712,1
14,20210719,1
14,20210726,1
14,20211004,1
14,20211011,1
14,20201222,1
14,20201229,1
14,20210105,1
14,20210406,1
14,20210413,1
14,20210622,1
14,20210629,1
14,20210706,1
14,20210713,1
14,20210720,1
14,20210727,1
14,20211005,1
14,20211012,1
14,20201223,1
14,20201230,1
14,20210106,1
14,20210407,1
14,20210414,1
14,20210623,1
14,20210630,1
14,20210707,1
14,20210714,1
14,20210721,1
14,20210728,1
14,20211006,1
14,20211013,1
14,20201224,1
14,20201231,1
14,20210401,1
14,20210408,1
14,20210415,1
14,20210624,1
14,20210701,1
14,20210708,1
14,20210715,1
14,20210722,1
14,20210729,1
14,20211007,1
14,20211014,1
14,20210409,1
14,20210416,1
14,20210514,1
14,20210625,1
14,20210702,1
14,20210709,1
14,20210716,1
14,20210723,1
14,20210730,1
14,20211008,1
14,20211015,1
14,20201226,2
14,20210501,2
15,20201224,2
15,20201231,2
15,20210401,2
15,20210408,2
15,20210415,2
15,20210513,2
15,20210624,2
15,20210701,2
15,20210708,2
15,20210715,2
15,20210722,2
15,20210729,2
15,20211007,2
15,20211014,2
15,20201225,2
15,20210101,2
15,20210402,2
15,20210409,2
15,20210416,2
15,20210514,2
15,20210625,2
15,20210702,2
15,20210709,2
15,20210716,2
15,20210723,2
15,20210730,2
15,20211008,2
15,20211015,2
16,20201221,2
16,20201228,2
16,20210104,2
16,20210405,2
16,20210412,2
16,20210524,2
16,20210621,2
16,20210628,2
16,20210705,2
16,20210712,2
16,20210719,2
16,20210726,2
16,20211004,2
16,20211011,2
16,20201222,2
16,20201229,2
16,20210105,2
16,20210406,2
16,20210413,2
16,20210622,2
16,20210629,2
16,20210706,2
16,20210713,2
16,20210720,2
16,20210727,2
16,20211005,2
16,20211012,2
16,20201223,2
16,20201230,2
16,20210106,2
16,20210407,2
16,20210414,2
16,20210623,2
16,20210630,2
16,20210707,2
16,20210714,2
16,20210721,2
16,20210728,2
16,20211006,2
16,20211013,2
17,20201222,2
17,20201229,2
17,20210105,2
17,20210406,2
17,20210413,2
17,20210622,2
17,20210629,2
17,20210706,2
17,20210713,2
17,20210720,2
17,20210727,2
17,20211005,2
17,20211012,2
17,20201225,2
17,20210101,2
17,20210402,2
17,20210409,2
17,20210416,2
17,20210514,2
17,20210625,2
17,20210702,2
17,20210709,2
17,20210716,2
17,20210723,2
17,20210730,2
17,20211008,2
17,20211015,2
18,20201221,2
18,20201228,2
18,20210104,2
18,20210405,2
18,20210412,2
18,20210524,2
18,20210621,2
18,20210628,2
18,20210705,2
18,20210712,2
18,20210719,2
18,20210726,2
18,20211004,2
18,20211011,2
18,20201222,2
18,20201229,2
18,20210105,2
18,20210406,2
18,20210413,2
18,20210622,2
18,20210629,2
18,20210706,2
18,20210713,2
18,20210720,2
18,20210727,2
18,20211005,2
18,20211012,2
18,20201223,2
18,20201230,2
18,20210106,2
18,20210407,2
18,20210414,2
18,20210623,2
18,20210630,2
18,20210707,2
18,20210714,2
18,20210721,2
18,20210728,2
18,20211006,2
18,20211013,2
18,20201224,2
18,20201231,2
18,20210401,2
18,20210408,2
18,20210415,2
18,20210513,2
18,20210624,2
18,20210701,2
18,20210708,2
18,20210715,2
18,20210722,2
18,20210729,2
18,20211007,2
18,20211014,2
19,20210111,1
19,20210118,1
19,20210125,1
19,20210201,1
19,20210208,1
19,20210215,1
19,20210222,1
19,20210301,1
19,20210308,1
19,20210315,1
19,20210322,1
